"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781858878951918E9,"2026-06-19 10:47:58.952 UTC+02:00"
"PAUSE",1.846426179166883E1,1.781858897416501E9,"2026-06-19 10:48:17.417 UTC+02:00"
