subject_id,exercise_type,session,unique_exer_id,gyro_z_std_3_0s,linacc_X_mean_3_0s,linacc_Y_std_3_0s,gyro_magnitude_mean_3_0s,gyro_z_min_3_0s,gyro_y_rms_3_0s,accel_y_mean_3_0s,gyro_z_rms_3_0s,gyro_z_max_3_0s,linacc_Z_rms_3_0s,orient_y_std_3_0s,linacc_Z_mean_3_0s,accel_x_mean_3_0s,linacc_Y_mean_3_0s,accel_y_std_3_0s,linacc_Z_std_3_0s,gyro_magnitude_std_3_0s,linacc_Y_max_3_0s,linacc_Y_kurt_3_0s,gyro_x_mean_3_0s,accel_x_min_3_0s,pressure_X (hPa)_min_3_0s,linacc_X_max_3_0s,orient_x_std_3_0s,accel_z_max_3_0s,gyro_x_min_3_0s,linacc_Y_rms_3_0s,gyro_y_std_3_0s,orient_z_max_3_0s,accel_x_max_3_0s,linacc_Z_skew_3_0s,gyro_y_min_3_0s,accel_y_min_3_0s,accel_z_std_3_0s,orient_y_min_3_0s,linacc_X_rms_3_0s,orient_x_min_3_0s,orient_z_min_3_0s,orient_w_std_3_0s,accel_x_skew_3_0s,linacc_X_min_3_0s,gyro_x_rms_3_0s,linacc_Z_max_3_0s,accel_x_std_3_0s,gyro_x_std_3_0s,linacc_Z_min_3_0s,orient_w_min_3_0s,accel_magnitude_mean_3_0s,orient_y_rms_3_0s,linacc_Y_min_3_0s,exercise_class
subj1,Pullup,1,subj1Pullup_1,0.31448414190131313,0.08699305964439999,0.05427183856055924,0.47135166530375355,-0.3270894399912,0.27385039394487487,-1.0795569211183769,0.058976930504822,0.117658298636902,0.035450645009000054,0.22308259842719794,0.022425829124055,5.88779631656609,-0.142205894025897,0.3561730783278686,0.03882860851621719,0.015502926501451688,-0.103829908952264,-0.49537591977206075,-0.08356746937182549,3.5446185317821786,1012.286466,0.1550695054237,0.034444157760034094,5.998889601316832,-0.366232490293691,0.14729301587677657,0.025002748878534396,0.228500795719403,1.16855996702368,-0.2529114450042746,-0.290958718844612,-1.3314093200801,2.9527326668363756,-0.5047816425149254,0.13324556803672977,0.0039812785355248,0.2026800200626368,0.08107479650575287,-0.22391174333100589,0.0189166138651,0.2947592848240232,0.0498818015099099,3.3137538022927524,0.3997487061961768,-0.0050301432617999,0.196242496582587,9.365366769714218,0.0334692871321841,-0.18058187909953,1
subj1,Pullup,1,subj1Pullup_1,0.24596462181750756,0.10428760790657661,0.03860150158762447,0.3416243775147316,-0.3270894399912,0.22415126301852295,-0.47884459398505647,0.058976930504822,0.117658298636902,0.06758089071394643,0.18196188517653863,0.050208387033969994,6.737628766537129,-0.139800366055598,1.070511807862278,0.055402544993043125,0.22496150327632033,-0.103829908952264,-0.49537591977206075,-0.053991626389883696,3.5446185317821786,1012.286466,0.1550695054237,0.0737369503770318,5.998889601316832,-0.366232490293691,0.14330919823639648,0.14313334570657457,0.228500795719403,1.16855996702368,0.026525564683712817,-0.290958718844612,-1.3314093200801,2.5000504353019886,-0.5047816425149254,0.13324556803672977,0.0039812785355248,0.1537703707513074,0.06766718571407576,-1.7212245977936795,0.0189166138651,0.240688386504727,0.1057735028538,2.7671515517181517,0.28726939537137625,-0.0050301432617999,0.196242496582587,9.37924712698603,0.0334692871321841,-0.18058187909953,1
subj1,Pullup,1,subj1Pullup_1,0.21852147328940827,0.17115321384795748,0.03556619514961588,0.2900518199800057,-0.3270894399912,0.19438388369954826,-0.4593324555725423,0.058976930504822,0.1282406560935,0.07571584172309043,0.16498472940787315,0.0616745442480725,7.369376106797096,-0.1480400609458985,0.8749399491946623,0.05071672018350067,0.21065936184652476,-0.103829908952264,-2.3674153197739862,-0.05004834805758527,3.5446185317821786,1012.286466,0.3717500316721,0.06650928651565784,5.998889601316832,-0.366232490293691,0.1512103677759259,0.15761008828065753,0.228500795719403,1.16855996702368,-0.8788941226345365,-0.290958718844612,-1.3314093200801,2.2931154303935966,-0.5428851825487562,0.13324556803672977,0.0039812785355248,0.1537703707513074,0.06368934847785855,-1.8172675484373617,0.0189166138651,0.20931635921214845,0.1057735028538,2.5886619351484064,0.23468702872985536,-0.0050301432617999,0.196242496582587,9.520858401252195,0.0334692871321841,-0.18058187909953,1
subj1,Pullup,1,subj1Pullup_1,0.1714503451356736,0.16757482689643832,0.04138975055137573,0.22511464725016886,-0.3270894399912,0.16180935147757408,0.5687991785061274,0.058976930504822,0.1282406560935,0.06776733112132134,0.12980256914491423,0.052994071208465,7.523177108873423,-0.13099755217401568,1.8085296444341408,0.04626929328259444,0.19179461026756928,-0.07156170349607,-0.97471814405354,-0.05246901222761685,3.5446185317821786,1012.286466,0.3717500316721,0.08214079677144782,5.998889601316832,-0.366232490293691,0.1363376380577702,0.13186770152633293,0.228500795719403,1.16855996702368,-0.26468000264519076,-0.290958718844612,-1.3314093200801,1.8493852580050245,-0.5428851825487562,0.13324556803672977,0.0039812785355248,-0.0144870325454477,0.0500247110375682,-2.001650432012832,0.0189166138651,0.17409361851214866,0.1057735028538,2.034954946865542,0.18184253879390844,-0.0050301432617999,0.196242496582587,9.445781790780567,0.0334692871321841,-0.18058187909953,1
subj1,Pullup,1,subj1Pullup_1,0.2043553629984787,0.16855137334018996,0.05781049661314735,0.2458944656565403,-0.3661914366751,0.15118342693318884,0.9314721076485334,0.058976930504822,0.1282406560935,0.06282278223291568,0.11851997582265011,0.044207551500030015,7.42851309345374,-0.14753521759515628,1.9095473644453098,0.04821265481350269,0.1835127145751843,-0.07156170349607,0.2794832775423579,-0.04238991166283231,3.5446185317821786,1012.286466,0.3717500316721,0.07995259260889358,5.998889601316832,-0.366232490293691,0.15694348579204423,0.12211278001508236,0.228500795719403,1.16855996702368,0.10891922432204161,-0.290958718844612,-1.3314093200801,1.6971148796608566,-0.5428851825487562,0.13324556803672977,0.0039812785355248,-0.0492255341741194,0.045864563731928196,-1.7899479122788284,0.0189166138651,0.1613242449738774,0.1057735028538,1.874459111455381,0.16812706099815408,-0.0085115667505799,0.196242496582587,9.340433840272647,0.0334692871321841,-0.246761210122,1
subj1,Pullup,1,subj1Pullup_1,0.1908384839339489,0.17420383032499123,0.07457846217937934,0.2336741041267088,-0.3661914366751,0.14199151158875353,0.9639692028658042,0.058976930504822,0.1282406560935,0.0934812285688489,0.11304044468890663,0.06438514786632626,7.580330666414523,-0.12917313125082425,1.7702851364125964,0.0724532781786022,0.1733800053046266,-0.0006385268405,0.48812574403435083,-0.03248107789552766,3.5446185317821786,1012.286466,0.3717500316721,0.07460221930948342,5.998889601316832,-0.366232490293691,0.1468073618063946,0.1153210511334004,0.228500795719403,1.16855996702368,0.9857404946297063,-0.290958718844612,-1.3314093200801,1.5900979607972168,-0.5428851825487562,0.13324556803672977,0.0039812785355248,-0.0492255341741194,0.0426395191284999,-1.9651685012433402,0.0189166138651,0.15146731267029082,0.2056283224304,1.7877480642597714,0.15815842468434457,-0.0085115667505799,0.196242496582587,9.376498003578662,0.0334692871321841,-0.246761210122,1
subj1,Pullup,1,subj1Pullup_1,0.2603993086456206,0.17287670303421776,0.07237068694413433,0.2654023433512606,-0.3661914366751,0.13697763047246944,1.1643476704576345,0.058976930504822,0.49169840924214,0.0884780277704127,0.1059582490402012,0.05982594709190111,7.543107359197156,-0.1227542988426771,1.761685146003109,0.06914021719872121,0.1880509995669175,-0.0006385268405,0.21570721437721288,-0.044686397415862694,3.5446185317821786,1012.286466,0.3717500316721,0.07049344249976235,5.998889601316832,-0.366232490293691,0.14044282806313538,0.10788747112458662,0.228500795719403,1.16855996702368,1.1782686093348997,-0.290958718844612,-1.3314093200801,1.4984685355138583,-0.5428851825487562,0.13324556803672977,0.0039812785355248,-0.0536768420242487,0.04009065038228897,-1.9279504943257213,0.0189166138651,0.15047934723086318,0.2056283224304,1.6760095226484473,0.15240752871051202,-0.0085115667505799,0.196242496582587,9.311137189028091,0.0334692871321841,-0.246761210122,1
subj1,Pullup,1,subj1Pullup_1,0.32579013556946207,0.16758629147996398,0.07152717256186227,0.30911973603017073,-0.6910920107519201,0.1359122943496237,1.438588788724741,0.058976930504822,0.49169840924214,0.0840282123614304,0.10008698096120572,0.052609852713886004,7.47355890278164,-0.1159677949954794,1.8737073652265905,0.06906473509268811,0.22482446623056263,-0.0006385268405,-0.009238953919371287,-0.03899476244086643,3.5446185317821786,1012.286466,0.3717500316721,0.0694298801785716,5.998889601316832,-0.366232490293691,0.13436164724108782,0.12281701967552083,0.228500795719403,1.16855996702368,1.256576520971194,-0.290958718844612,-1.3314093200801,1.4296445788901728,-0.5428851825487562,0.13324556803672977,0.0039812785355248,-0.120408824592587,0.03869232340610492,-1.7796111063030673,0.0189166138651,0.14280962055174523,0.2056283224304,1.5953889202304414,0.144814042536987,-0.0123349966882499,0.196242496582587,9.260697194169115,0.0334692871321841,-0.246761210122,1
subj1,Pullup,1,subj1Pullup_1,0.3878443806956026,0.17399048517591634,0.0688875475764813,0.3464390954260969,-0.6910920107519201,0.14045607443022115,1.3854068381331965,0.058976930504822,0.6955210700979699,0.08467894998742766,0.09520057992255182,0.05609355278250819,7.484002374412742,-0.1123879087875749,1.7862846581689804,0.06653150906097176,0.24659991280861598,-0.0006385268405,0.1914807185220779,-0.039345287853261295,3.5446185317821786,1012.286466,0.3717500316721,0.06968758023316406,5.998889601316832,-0.366232490293691,0.13017345231690136,0.12111875810806579,0.228500795719403,1.16855996702368,1.0681368459938396,-0.290958718844612,-1.3314093200801,1.3563758821163245,-0.5428851825487562,0.13324556803672977,0.0039812785355248,-0.120408824592587,0.03670703091871041,-1.8579896045523434,0.0189166138651,0.13677521245694776,0.2056283224304,1.51391510766339,0.1373875823101416,-0.0123349966882499,0.196242496582587,9.224357446127334,0.0334692871321841,-0.246761210122,1
subj1,Pullup,1,subj1Pullup_1,0.38416059672844793,0.16664644460978997,0.06751173213907687,0.3485649805388726,-0.6910920107519201,0.13448081056003966,1.6915844879003303,0.058976930504822,0.6955210700979699,0.08447550541674649,0.0915117382184344,0.044568724131639176,7.3275637786960965,-0.107880985132777,2.006408737129666,0.07495263846184429,0.23523909096991072,-0.0006385268405,0.28208636454395697,-0.034482693481582845,3.5446185317821786,1012.286466,0.3717500316721,0.07418954379947676,5.998889601316832,-0.366232490293691,0.1257629573109747,0.11755845007510653,0.228500795719403,1.16855996702368,0.5397956494358122,-0.290958718844612,-1.3314093200801,1.2934151767479343,-0.5428851825487562,0.13324556803672977,0.0039812785355248,-0.1793383445791069,0.03531144180450631,-1.400169114400352,0.0189166138651,0.13106718007008725,0.2056283224304,1.541835684278133,0.13207249885827463,-0.08220439102792,0.196242496582587,9.18709476018927,0.0334692871321841,-0.246761210122,1
