"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781210955812655E9,"2026-06-11 22:49:15.813 UTC+02:00"
"PAUSE",4.281248516659252E1,1.781210998624659E9,"2026-06-11 22:49:58.625 UTC+02:00"
