"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.697210208E0,-5.323001146E-1,-3.702195883E-1,6.948363185E-1
1.717210208E0,-3.607630134E-1,-3.331137896E-1,6.841788888E-1
1.737210208E0,-2.458334267E-1,-5.161991715E-1,4.818269610E-1
1.757210208E0,-2.120933086E-1,-5.558014512E-1,2.250149846E-1
1.777210208E0,-2.656833529E-1,-3.762783110E-1,1.093318090E-1
1.797210208E0,-7.621497661E-2,-4.049915373E-1,1.092218608E-1
1.817210208E0,7.471680641E-2,-8.994502425E-1,7.547953725E-2
1.837210208E0,-8.262489736E-2,-9.446815252E-1,4.057052732E-2
1.857210208E0,-4.497262537E-1,-4.503447711E-1,-1.264008582E-1
1.877210208E0,-6.141188741E-1,3.555783331E-1,-3.889963329E-1
1.897210208E0,-4.474285543E-1,9.055452347E-1,-5.283597708E-1
1.917210208E0,-2.968440652E-1,3.328101039E-1,-4.363901615E-1
1.937210208E0,-1.506239325E-1,-7.694261670E-1,-5.857291818E-2
1.957210208E0,2.191043496E-1,-1.098126054E0,1.271589845E-1
1.977210208E0,6.387103796E-1,-8.840958476E-1,-1.697712094E-1
1.997210208E0,6.719667315E-1,-1.108122230E0,-2.941406667E-1
2.017210208E0,4.423553050E-1,-1.031740189E0,-3.442131355E-2
2.037210208E0,1.745774597E-1,-5.255492926E-1,9.885769337E-2
2.057210208E0,3.056712449E-1,-2.470223308E-1,-2.181672156E-1
2.077210208E0,1.421089619E-1,-5.613888502E-1,-2.497729808E-1
2.097210208E0,2.366191298E-1,-3.931279182E-1,-1.764804721E-1
2.117210208E0,4.889304042E-1,-5.179105997E-1,-3.404197097E-1
2.137210208E0,6.712026596E-1,-1.046389580E0,-5.779747963E-1
2.157210208E0,8.091572523E-1,-1.744544744E0,-5.414772034E-1
2.177210208E0,9.129168987E-1,-2.026401758E0,-2.705280185E-1
2.197210208E0,6.178887486E-1,-1.129659891E0,-2.429476231E-1
2.217210208E0,-4.519663751E-2,4.627915323E-1,-3.340874910E-1
2.237210208E0,-1.949731559E-1,8.306375146E-1,-2.861086130E-1
2.257210208E0,1.893964410E-1,-2.512256149E-3,-2.782368064E-1
2.277210208E0,3.378993869E-1,-8.231734633E-1,-3.039905727E-1
2.297210208E0,4.572807550E-1,-9.315382242E-1,-2.052412480E-1
2.317210208E0,5.337730050E-1,-6.666650176E-1,-1.794447601E-1
2.337210208E0,7.670885324E-1,-9.826792479E-1,-2.817811072E-1
2.357210208E0,6.379128098E-1,-1.399442792E0,-2.243248373E-1
2.377210208E0,2.454999834E-1,-1.081805468E0,-1.454706341E-1
2.397210208E0,7.839772105E-2,-3.494971693E-1,-1.093388498E-1
2.417210208E0,-1.273140162E-1,3.889382482E-1,-3.776345551E-1
2.437210208E0,-3.628432378E-2,-1.650398374E-1,-5.773571730E-1
2.457210208E0,5.816580355E-2,-4.382463098E-1,-2.921425998E-1
2.477210208E0,3.391703069E-1,-2.368408591E-1,-2.694026008E-2
2.497210208E0,3.918024600E-1,-3.861806691E-1,-3.155285418E-1
2.517210208E0,3.381394446E-1,-3.664446175E-1,-6.848481894E-1
2.537210208E0,2.966636121E-1,-5.343534350E-1,-4.318064749E-1
2.557210208E0,5.998841524E-1,-9.410133958E-1,5.917983502E-2
2.577210208E0,1.788952649E-1,-5.401520729E-1,-3.197546303E-1
2.597210208E0,-6.166884303E-1,9.149879217E-1,-1.070609808E0
2.617210208E0,-4.534685910E-1,8.982465267E-1,-1.002926350E0
2.637210208E0,1.974950582E-1,-4.800822735E-1,-2.766471207E-1
2.657210208E0,3.484044075E-1,-9.731869698E-1,-3.458075970E-2
2.677210208E0,-2.640244178E-2,1.244811490E-1,-5.751821995E-1
2.697210208E0,2.342181802E-1,1.034592018E-1,-6.660760045E-1
2.717210208E0,5.712144971E-1,-4.790617824E-1,-1.519828141E-1
2.737210208E0,4.349040687E-1,-5.801671743E-1,7.165876776E-2
2.757210208E0,-3.702613339E-2,5.329179168E-1,-3.855721056E-1
2.777210208E0,-6.878081709E-2,7.427078485E-1,-6.928935647E-1
2.797210208E0,5.407406688E-1,-5.185822248E-1,-2.143137604E-1
2.817210208E0,1.099517941E0,-1.503861904E0,7.026351988E-2
2.837210208E0,3.237865269E-1,-9.103411436E-1,-3.859072924E-1
2.857210208E0,-4.965081811E-1,1.028913379E0,-8.087608814E-1
2.877210208E0,-2.491278760E-2,5.143783092E-1,-5.439742208E-1
2.897210208E0,2.539487183E-1,-6.055700779E-1,-2.928190120E-2
2.917210208E0,-6.530463696E-2,-1.473463625E-1,-2.752181590E-1
2.937210208E0,-4.206342995E-1,1.153436899E0,-7.222785950E-1
2.957210208E0,3.541853428E-1,-1.019344330E-1,-3.196895421E-1
2.977210208E0,9.975454211E-1,-1.669598579E0,1.975526810E-1
2.997210208E0,5.963868499E-1,-1.138183117E0,-2.273647636E-1
3.017210208E0,-3.337839544E-1,8.524037600E-1,-3.954387605E-1
3.037210208E0,-8.606446534E-2,2.694118619E-1,-6.945774704E-2
3.057210208E0,3.957591951E-1,-7.889505029E-1,-1.393499076E-1
3.077210208E0,5.298796296E-1,-6.802222133E-1,-2.142854184E-1
3.097210208E0,1.264346093E-1,-2.414250076E-1,8.560344577E-2
3.117210208E0,2.041450739E-1,-1.907109767E-1,-2.991643548E-1
3.137210208E0,2.190185636E-1,-2.685985267E-1,-5.234379172E-1
3.157210208E0,1.154118329E-1,-7.266391069E-2,-5.685651675E-2
3.177210208E0,5.542422086E-2,-2.497769594E-1,2.710992992E-1
3.197210208E0,-6.012389436E-2,2.007965147E-1,-3.786815703E-1
3.217210208E0,2.380757034E-1,2.957398891E-1,-4.394869506E-1
3.237210208E0,5.914019942E-1,-3.964244127E-1,1.618756801E-1
3.257210208E0,6.011361480E-1,-1.259375930E0,-1.633841246E-1
3.277210208E0,2.714653686E-2,-3.239794821E-2,-5.809545517E-1
3.297210208E0,-1.341797691E-2,5.541189909E-1,-4.177592397E-1
3.317210208E0,5.971164107E-1,-5.178480595E-2,1.971576214E-1
3.337210208E0,9.383234382E-1,-1.105929494E0,-3.091044724E-1
3.357210208E0,2.806017399E-1,-3.364500105E-1,-7.076058388E-1
3.377210208E0,-1.684677303E-1,6.889152527E-1,-4.702908397E-1
3.397210208E0,4.034372866E-1,-5.553326569E-3,-2.472215593E-1
3.417210208E0,8.250942230E-1,-9.050714374E-1,-9.476171136E-1
3.437210208E0,2.263262272E-1,-1.515995711E-1,-1.086135149E0
3.457210208E0,7.674656063E-2,6.969532371E-1,-6.620091200E-1
3.477210208E0,5.009633303E-1,-7.621937245E-2,-6.889696121E-1
3.497210208E0,6.499871016E-1,-5.613508224E-1,-1.117318153E0
3.517210208E0,4.017447829E-1,-6.614688784E-2,-1.065233707E0
3.537210208E0,4.485915601E-1,-3.731594682E-1,-9.471014142E-1
3.557210208E0,2.685838044E-1,-4.184063971E-1,-1.129464865E0
3.577210208E0,-1.856803149E-1,3.879977763E-1,-1.307934046E0
3.597210208E0,-1.215116456E-1,6.528432369E-1,-1.233623743E0
3.617210208E0,7.208389789E-2,-1.438728869E-1,-1.251801968E0
3.637210208E0,1.816122681E-1,-2.834163308E-1,-1.323203087E0
3.657210208E0,2.294877172E-1,5.254959464E-1,-1.238006592E0
3.677210208E0,5.500136018E-1,-8.948752284E-2,-9.139481187E-1
3.697210208E0,3.961804211E-1,-7.880638242E-1,-1.058682680E0
3.717210208E0,-3.355672956E-1,-1.607902646E-1,-1.083640456E0
3.737210208E0,-4.470820427E-1,1.215915322E0,-5.241807699E-1
3.757210208E0,-2.067080587E-1,-3.314280212E-1,-2.865279317E-1
3.777210208E0,-2.620747499E-2,-5.417612195E-1,-8.059940338E-1
3.797210208E0,3.810844421E-1,-2.162239999E-1,-5.760877728E-1
3.817210208E0,-6.092189550E-1,-6.570690274E-1,6.998888254E-1
3.837210208E0,-9.308513999E-1,1.653230667E0,4.226588905E-1
3.857210208E0,9.514336474E-3,6.761903763E-1,-7.151396871E-1
3.877210208E0,2.072182000E-1,-1.340930700E0,3.623332381E-1
3.897210208E0,4.151030183E-1,-1.083161950E0,1.201833487E0
3.917210208E0,-8.306393623E-1,4.743757546E-1,1.026433825E0
3.937210208E0,-7.217193842E-1,1.424653530E0,3.009406328E-1
3.957210208E0,3.297848701E-1,-5.349841118E-1,6.886395216E-1
3.977210208E0,3.569274843E-1,-1.776005745E0,1.618332505E0
3.997210208E0,-4.538120925E-1,5.317618251E-1,1.541332841E0
4.017210208E0,-3.553739488E-1,-5.200092793E-1,1.133644342E0
4.037210208E0,-5.171284676E-1,4.388328269E-2,1.751537800E0
4.057210208E0,-7.664138079E-1,7.073379159E-1,2.125004768E0
4.077210208E0,-7.416644096E-1,-4.346570075E-1,1.227594852E0
4.097210208E0,-3.054388762E-1,-5.116532445E-1,8.276866674E-1
4.117210208E0,-7.239528894E-1,4.427150190E-1,1.618223310E0
4.137210208E0,-1.075167894E0,7.799032927E-1,2.153639317E0
4.157210208E0,-6.842986941E-1,-2.763343155E-1,1.304109216E0
4.177210208E0,-1.441250090E-2,-1.006529331E0,1.220749974E0
4.197210208E0,-8.419846892E-1,4.810033739E-1,1.410471797E0
4.217210208E0,-1.315086603E0,2.315088660E-1,1.334243894E0
4.237210208E0,-1.868778110E0,2.453099966E0,1.208959699E0
4.257210208E0,-7.225778103E-1,1.504768014E0,1.004083276E0
4.277210208E0,2.753365934E-1,-2.156303644E0,1.214676976E0
4.297210208E0,9.338716418E-2,-2.316521645E0,8.013258576E-1
4.317210208E0,-1.944429517E0,2.079883099E0,4.547400773E-1
4.337210208E0,-1.512224436E0,2.551448107E0,7.929119468E-1
4.357210208E0,-4.920506775E-1,2.849100232E-1,1.105768323E0
4.377210208E0,3.760527074E-2,-5.083497167E-1,8.607171774E-1
4.397210208E0,3.047750592E-1,-3.530288935E-1,8.111956716E-1
4.417210208E0,2.057949901E-1,-5.415530801E-1,8.945096135E-1
4.437210208E0,-5.350244045E-1,-1.209221855E-1,3.721548915E-1
4.457210208E0,-7.289004326E-1,1.650854588E0,6.634353846E-2
4.477210208E0,1.111677438E-1,4.480432272E-1,4.073036015E-1
4.497210208E0,8.341453075E-1,-1.702508926E0,4.487252533E-1
4.517210208E0,3.052608371E-1,-8.576838970E-1,1.661914736E-1
4.537210208E0,-5.805609822E-1,1.149246931E0,1.433495134E-1
4.557210208E0,1.696351022E-1,5.959822536E-1,-1.575117856E-1
4.577210208E0,8.467770219E-1,-9.191527367E-1,-3.417965174E-1
4.597210208E0,6.820904613E-1,-7.065584660E-1,7.988163084E-2
4.617210208E0,1.814497411E-1,1.650521755E-1,1.307242066E-1
4.637210208E0,8.788081259E-2,7.082532048E-1,-4.601665735E-1
4.657210208E0,7.341207266E-1,2.527592778E-1,-4.741790593E-1
