"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781858657362921E9,"2026-06-19 10:44:17.363 UTC+02:00"
"PAUSE",1.559501391672529E1,1.781858672958066E9,"2026-06-19 10:44:32.958 UTC+02:00"
