time_bin,gyro_X (rad/s),gyro_Y (rad/s),gyro_Z (rad/s),linacc_X (m/s^2),linacc_Y (m/s^2),linacc_Z (m/s^2),accel_X (m/s^2),accel_Y (m/s^2),accel_Z (m/s^2),orient_w,orient_x,orient_y,orient_z,orient_Direct (°),orient_Yaw (°),orient_Pitch (°),orient_Roll (°),pressure_X (hPa),exercise_class,exercise_type,session
-2.0,,,,,,,-2.129771118,3.0457164,10.81126785,,,,,,,,,1012.336502,0,Pushup,1
0.0,-0.7636770216102999,0.46855874495545,-0.150836476801436,0.493598200216,-0.2068084886389,-0.05237777474464998,-3.4033407164352,-4.016904304374,5.7011119766050005,0.686546974560804,-0.3513717197658744,0.02450015203753769,0.5392884904180905,91.922458270201,-33.17498979337387,25.45672764746985,68.65589986296483,1012.3467255,0,Pushup,1
2.0,-0.33006852084548,-0.05371894501822999,-0.44604407926583584,-0.05077592484026,-0.13851141130599,0.016866140057900002,3.1434631347767676,-8.365807758727273,0.5626980452143838,0.7019279573595,-0.590953731977,-0.31394820316210004,0.08907869163580345,90.32628615944999,-88.13686202065,-20.2908975431815,36.959589136,1012.3559063333333,0,Pushup,1
4.0,-0.08334161263032,-0.2843317831665,-0.25615447474273,-0.14789566619140002,0.0036327296342399907,-0.005201136326039995,6.70134697715,-3.900894049044,-5.4955594253569995,0.4476574858685,-0.591132822607,-0.6519003493775,-0.10585194466555001,126.6117289655,-144.148948279,-44.40683745825,79.44734676555,1012.36496,0,Pushup,1
6.0,-0.026147739247199993,-0.049933997089719996,-0.0023258880594499982,0.08448728434175001,0.05153543536442,-0.12237436496779999,6.211146354668,-2.01925593565108,-7.414995437581,0.3322851393055,-0.579996528394,-0.7308412480344999,-0.11960165876985,141.15375348999999,-164.27190115500002,-38.5800114858,97.62039070095,1012.370911,0,Pushup,1
8.0,-0.004295560465150005,0.03128241884364,0.006321342172559999,-0.016965485754853998,0.16169008934509999,0.013562540714800009,6.182554312150001,-1.27842999114229,-7.388341864059999,0.3163634579685,-0.5726860264145001,-0.7407778017045,-0.14502495123135,143.094316757,-168.917493902,-39.3393919835,100.57312512575,1012.375374,0,Pushup,1
10.0,0.004374001439799997,-0.018507664963634998,0.013918148625980002,-0.0501082349304,0.20485104530649997,-0.11690203186749999,6.6768309587,-1.1127245772891,-7.069368672424,0.33804912688140704,-0.5683689120532663,-0.7286987293839197,-0.17154318378291455,140.45983295175878,-169.2118852884422,-43.366110286281405,99.72093119743718,1012.3784255,0,Pushup,1
12.0,0.00837619518345,0.00656620677732,0.011377676294929997,-0.020531427734800017,0.1472737510268,0.009678165179099989,6.4995995132,-1.312044090283,-7.10669505144,0.333470097304,-0.5675682308585001,-0.7349672646345,-0.156346505362,141.019201362,-168.37674973,-41.801778425250006,100.13490404059999,1012.380867,0,Pushup,1
14.0,0.026223770847060002,-0.00830120028589,0.0229826649663,-0.06811466540899999,0.193135562725573,-0.12563711130529998,6.45661040947,-1.20519478454938,-7.23732091365,0.330939395551,-0.5638262753285,-0.7394425508795,-0.1551416956875,141.32789278250002,-168.7924876465,-41.57248376769999,101.0098217961,1012.381363,0,Pushup,1
16.0,0.03528702060215,0.026544113920681203,0.03260195459198,-0.0959168602124,0.119130370617695,-0.1659075170049,6.34731219634,-1.3155063903452,-7.34136954337,0.329743949217,-0.5685150530645,-0.7356954407934999,-0.1560887837045,141.4598924965,-168.559950652,-41.41297159875,100.11188313785,1012.3796465,0,Pushup,1
