,,time_bin,gyro_X (rad/s),gyro_Y (rad/s),gyro_Z (rad/s),linacc_X (m/s^2),linacc_Y (m/s^2),linacc_Z (m/s^2),accel_X (m/s^2),accel_Y (m/s^2),accel_Z (m/s^2),orient_w,orient_x,orient_y,orient_z,orient_Direct (°),orient_Yaw (°),orient_Pitch (°),orient_Roll (°),pressure_X (hPa),exercise_class,exercise_type,session,LOF_Label,LOF_Score,PC1,PC2
subj1,0,0.0,-0.366232490293691,-0.290958718844612,0.117658298636902,0.1550695054237,-0.103829908952264,0.0498818015099099,3.5446185317821786,-0.8277045221566535,8.56621715279208,0.9385162030537312,0.0039812785355248,-0.1892952062897512,0.228500795719403,39.11765940069652,-6.016417144165174,-20.50537370500497,29.927831620099504,1003.763733,1,Pullup,1,1,-1.1723271279500977,5.080062871340883,4.658631548421717
subj1,1,2.0,0.19909755155004,-0.25559949228398,-0.3270894399912,0.0189166138651,-0.18058187909953,-0.0050301432617999,8.23097410135,-1.3314093200801,4.39042256929,0.8238591262686566,0.0526926735842835,-0.5047816425149254,0.2026800200626368,69.0092881059204,-9.253360526699003,-57.7523918800995,30.87796510602189,1003.777262,1,Pullup,1,1,-1.1896826288935807,0.5557052118057481,1.3612549711502455
subj1,2,4.0,0.0051600595739999,-0.0272633382195,0.0773431349548,0.1388767044309299,-0.134989310115,0.1057735028538,8.437293666479208,0.7225800602815842,4.096553450484159,0.818923227582587,0.1488849480337925,-0.5041422575492537,0.1537703707513074,69.96969412054726,7.670476269675621,-58.60008467482587,18.13523230632438,1003.780441,1,Pullup,1,1,-1.0140934418599237,0.9048246431594931,0.6819548902400026
subj1,3,6.0,-0.03821851306069,0.0202240161709,0.1282406560935,0.3717500316721,-0.1727591456168,0.09607301589038,9.264618127577,-0.400796040335,3.59485845337,0.7970682640452735,0.1250431373648059,-0.5428851825487562,0.2025348460810945,74.24248640701492,-4.0541643386422885,-65.00022138174128,31.534952335269157,1003.780212,1,Pullup,1,1,-1.0167119532759403,-0.2666799795515857,1.3951248008546708
subj1,4,8.0,-0.06113295960688,-0.020885259176,-0.055929938422798,0.1091980796233999,-0.12226336576443,0.06790906848915,8.22942642364515,1.7966055238316834,4.123866454782178,0.8257619884358209,0.1944141364650248,-0.4877012284567164,0.1153048550791661,68.55974128537314,19.03251941348463,-57.1458238279602,7.521081392608607,1003.778839,1,Pullup,1,1,-0.9762323469191487,1.5559353849978903,0.022635439231171454
subj1,5,10.0,-0.05348772152848,-0.07427668769023,-0.0515131272645999,0.2116380263634,-0.07156170349607,0.00335718176935,7.432131802407,3.45351936949525,4.20835767518,0.8323608232129354,0.217104315369592,-0.4672534564855721,-0.0144870325454477,67.26810304527363,31.60588383535721,-49.86298638865672,-13.941158969422425,1003.780632,1,Pullup,1,1,-0.9654466299991247,2.60186492359346,-0.748581799156834
subj1,6,12.0,0.0180846917258749,-0.0538646702513,-0.3661914366751,0.1744106520027,-0.246761210122,-0.0085115667505799,6.860529000935643,3.10750968250297,4.371706514188119,0.8281386017303483,0.1970950236745582,-0.4560341091308458,-0.0492255341741194,68.1651060962189,26.30661176250199,-45.743719488059696,-13.358335094435322,1003.785324,1,Pullup,1,1,-1.0076848386424724,2.5861148969285477,-0.9363355690207427
subj1,7,14.0,0.0368807584756049,-0.03602380950473,-0.13887065149372,0.2137710292186,-0.0006385268405,0.2056283224304,8.64305367714,1.1914488693867,4.07365878296848,0.8268208826059701,0.1079017587779915,-0.5271297120736318,0.0444277067861572,68.40455689766169,13.1329248498198,-59.85112700756218,-0.3019378055034826,1003.7910845,1,Pullup,1,1,-1.0273179134751451,0.8532861755624147,0.2751796069592745
subj1,8,16.0,-0.142328953578543,-0.08702371138143,0.49169840924214,0.16225968470803,-0.0714036395775,0.0233523408964999,7.245320901458218,2.767375411192277,4.132832957341584,0.8242829062253731,0.1608176776662338,-0.4803108267477612,-0.0536768420242487,68.91124183462686,21.138527566377117,-48.97993878955224,-11.65975858218756,1003.793793,1,Pullup,1,1,-0.9730229952704482,2.214294156553939,-0.38124988478339566
subj1,9,18.0,0.0122299523341,0.12591932458966,-0.6910920107519201,0.11997258749168,-0.0548892603707,-0.0123349966882499,6.8476227950420006,3.9067588531287,3.925037342809,0.8089240970432835,0.1977232691813283,-0.4815905953502488,-0.120408824592587,72.01041539820896,33.84238595294468,-46.957865666915424,-27.24314523358244,1003.7916945,1,Pullup,1,1,-1.0276880550883694,2.684122414087114,-1.960431753503176
