"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
3.431440417E-1,6.382637184E-1,6.231399962E-1,-3.792487858E-1,-2.459395683E-1,1.006750583E2,9.374433678E1,-1.023069152E1,-5.306400519E1
3.531140417E-1,6.378719846E-1,6.232180100E-1,-3.795587758E-1,-2.462797988E-1,1.007333577E2,9.378287981E1,-1.020949321E1,-5.312551391E1
3.630840417E-1,6.374692293E-1,6.233523215E-1,-3.798790603E-1,-2.464889314E-1,1.007932718E2,9.383064374E1,-1.019643651E1,-5.317766149E1
3.730540418E-1,6.370509850E-1,6.234714812E-1,-3.802688659E-1,-2.466676130E-1,1.008554626E2,9.388248631E1,-1.019046013E1,-5.323435697E1
3.830240418E-1,6.366404115E-1,6.235657953E-1,-3.806876476E-1,-2.468435129E-1,1.009164856E2,9.393336793E1,-1.018784465E1,-5.329361936E1
3.929930418E-1,6.362667375E-1,6.236881054E-1,-3.810343475E-1,-2.469630413E-1,1.009720011E2,9.398195372E1,-1.018477106E1,-5.334094001E1
4.029630418E-1,6.359459368E-1,6.239082068E-1,-3.812203732E-1,-2.469462458E-1,1.010196436E2,9.403048158E1,-1.017920456E1,-5.336105643E1
4.129330418E-1,6.356937301E-1,6.242192189E-1,-3.812386965E-1,-2.467811145E-1,1.010570877E2,9.407733307E1,-1.017242602E1,-5.335215700E1
4.229030418E-1,6.355125197E-1,6.245740427E-1,-3.811226768E-1,-2.465292238E-1,1.010839851E2,9.411861812E1,-1.016392085E1,-5.332242214E1
4.328720418E-1,6.353713699E-1,6.249262218E-1,-3.809508862E-1,-2.462660168E-1,1.011049326E2,9.415457126E1,-1.015399241E1,-5.328590849E1
4.428420416E-1,6.352584585E-1,6.252515428E-1,-3.807807500E-1,-2.459946332E-1,1.011216870E2,9.418682265E1,-1.014682986E1,-5.324863635E1
4.528120416E-1,6.351770308E-1,6.255363712E-1,-3.806136798E-1,-2.457391390E-1,1.011337685E2,9.421348657E1,-1.014131540E1,-5.321262939E1
4.627820416E-1,6.350772902E-1,6.257722671E-1,-3.805016114E-1,-2.455697297E-1,1.011485656E2,9.423789153E1,-1.013420374E1,-5.318907957E1
4.727510416E-1,6.349115267E-1,6.259976684E-1,-3.804602232E-1,-2.454880913E-1,1.011731542E2,9.426700489E1,-1.012330846E1,-5.318012878E1
4.827210417E-1,6.346937539E-1,6.262961419E-1,-3.803962548E-1,-2.453889198E-1,1.012054511E2,9.430474440E1,-1.010763914E1,-5.316806430E1
4.926910417E-1,6.344513885E-1,6.267414444E-1,-3.801648897E-1,-2.452370436E-1,1.012413863E2,9.434893886E1,-1.007818362E1,-5.313555925E1
5.026610417E-1,6.341617343E-1,6.273538276E-1,-3.797182279E-1,-2.451123943E-1,1.012843209E2,9.439822709E1,-1.002402704E1,-5.308448211E1
5.126300417E-1,6.337573352E-1,6.281064860E-1,-3.791365171E-1,-2.451314868E-1,1.013442417E2,9.445584594E1,-9.940404251E0,-5.303265123E1
5.226000417E-1,6.332027459E-1,6.289532478E-1,-3.785100990E-1,-2.453617983E-1,1.014263748E2,9.452313725E1,-9.828815739E0,-5.299463743E1
5.325700417E-1,6.325784247E-1,6.298673813E-1,-3.778099872E-1,-2.457057587E-1,1.015187775E2,9.459381325E1,-9.698571704E0,-5.295902109E1
5.425400417E-1,6.319680329E-1,6.308630795E-1,-3.769789989E-1,-2.459979417E-1,1.016090597E2,9.466516294E1,-9.560869423E0,-5.290623185E1
5.525100417E-1,6.313848681E-1,6.319882424E-1,-3.760252894E-1,-2.460668307E-1,1.016952607E2,9.474526215E1,-9.428150716E0,-5.282331865E1
5.624790417E-1,6.308220180E-1,6.332477061E-1,-3.749981391E-1,-2.458398489E-1,1.017784088E2,9.483942906E1,-9.309016891E0,-5.270944026E1
5.724490418E-1,6.302861629E-1,6.345326476E-1,-3.740086470E-1,-2.454081809E-1,1.018575234E2,9.494148949E1,-9.208402140E0,-5.258273648E1
5.824190418E-1,6.297407406E-1,6.357371413E-1,-3.731824634E-1,-2.449484852E-1,1.019380051E2,9.504664434E1,-9.123944407E0,-5.246992979E1
5.923890418E-1,6.291732543E-1,6.368308731E-1,-3.725273960E-1,-2.445625254E-1,1.020216939E2,9.515082365E1,-9.048972441E0,-5.237996576E1
6.023580418E-1,6.285814915E-1,6.378194380E-1,-3.719820474E-1,-2.443378195E-1,1.021089102E2,9.524921642E1,-8.972201172E0,-5.231375802E1
6.123280418E-1,6.279764524E-1,6.387687957E-1,-3.714322418E-1,-2.442502173E-1,1.021980277E2,9.534152393E1,-8.885628341E0,-5.225806861E1
6.222980418E-1,6.272861292E-1,6.397230425E-1,-3.709169123E-1,-2.443097708E-1,1.022996386E2,9.543762455E1,-8.786958147E0,-5.221810134E1
6.322680416E-1,6.264671106E-1,6.406662890E-1,-3.705128083E-1,-2.445523891E-1,1.024200987E2,9.554177883E1,-8.677651025E0,-5.220456257E1
6.422380416E-1,6.255631871E-1,6.415261901E-1,-3.702421201E-1,-2.450216100E-1,1.025529283E2,9.564507911E1,-8.559947656E0,-5.222267768E1
6.522070416E-1,6.246539321E-1,6.422639180E-1,-3.700631752E-1,-2.456780682E-1,1.026864170E2,9.573811807E1,-8.438197575E0,-5.226456027E1
6.621770416E-1,6.238452816E-1,6.428621082E-1,-3.699124159E-1,-2.463940800E-1,1.028050314E2,9.581290158E1,-8.322304244E0,-5.231301178E1
6.721470417E-1,6.231618493E-1,6.432734614E-1,-3.698427050E-1,-2.471539666E-1,1.029052022E2,9.586695315E1,-8.219660228E0,-5.237184468E1
6.821170417E-1,6.225102169E-1,6.434930676E-1,-3.699890178E-1,-2.480036049E-1,1.030006471E2,9.591115167E1,-8.132725963E0,-5.245872892E1
6.920860417E-1,6.216683336E-1,6.435712395E-1,-3.705847740E-1,-2.490209877E-1,1.031238647E2,9.597314822E1,-8.061511254E0,-5.260457833E1
7.020560417E-1,6.204142963E-1,6.435709655E-1,-3.717856431E-1,-2.503556098E-1,1.033072102E2,9.607585186E1,-7.994558546E0,-5.283835556E1
7.120260417E-1,6.187193818E-1,6.435996359E-1,-3.734414137E-1,-2.520065229E-1,1.035546457E2,9.622256795E1,-7.916412182E0,-5.314554386E1
7.219960417E-1,6.168139228E-1,6.438479441E-1,-3.750511915E-1,-2.536473840E-1,1.038323166E2,9.639852753E1,-7.819508388E0,-5.344909290E1
7.319650417E-1,6.149886060E-1,6.444797675E-1,-3.761189819E-1,-2.548906528E-1,1.040978152E2,9.658486226E1,-7.705079495E0,-5.366681428E1
7.419350417E-1,6.133372504E-1,6.455111325E-1,-3.765197668E-1,-2.556672085E-1,1.043375979E2,9.677278076E1,-7.573338830E0,-5.377990807E1
7.519050417E-1,6.118324604E-1,6.468239962E-1,-3.763876891E-1,-2.561485887E-1,1.045557599E2,9.695634981E1,-7.423730089E0,-5.381536763E1
7.618750418E-1,6.104470092E-1,6.482590648E-1,-3.759102812E-1,-2.565269831E-1,1.047563367E2,9.712828173E1,-7.258996421E0,-5.380725029E1
7.718450418E-1,6.091961961E-1,6.496759365E-1,-3.752447193E-1,-2.568902679E-1,1.049371893E2,9.728145814E1,-7.088624708E0,-5.377808691E1
7.818140418E-1,6.080846045E-1,6.509838375E-1,-3.745455030E-1,-2.572331852E-1,1.050977282E2,9.741589224E1,-6.926813273E0,-5.374285691E1
7.917840418E-1,6.070216821E-1,6.521684695E-1,-3.739953497E-1,-2.575432806E-1,1.052510773E2,9.754540146E1,-6.783808598E0,-5.371937114E1
8.017540418E-1,6.058908927E-1,6.532339524E-1,-3.737493701E-1,-2.578626589E-1,1.054140458E2,9.768398643E1,-6.662079350E0,-5.372713777E1
8.117240418E-1,6.046960190E-1,6.541354103E-1,-3.738425779E-1,-2.582467115E-1,1.055860584E2,9.782771810E1,-6.561267805E0,-5.377402532E1
8.216930418E-1,6.035483076E-1,6.548209604E-1,-3.741868439E-1,-2.586950381E-1,1.057510972E2,9.796092933E1,-6.481465901E0,-5.385061867E1
8.316630416E-1,6.025667813E-1,6.552147173E-1,-3.747488089E-1,-2.591722352E-1,1.058920963E2,9.806920487E1,-6.430356842E0,-5.395017788E1
8.416330416E-1,6.017963685E-1,6.551982906E-1,-3.755835588E-1,-2.597948812E-1,1.060026766E2,9.813930031E1,-6.408440042E0,-5.408727235E1
8.516030416E-1,6.012118760E-1,6.546865119E-1,-3.767636179E-1,-2.607277595E-1,1.060865175E2,9.816465382E1,-6.409841588E0,-5.428245557E1
8.615720416E-1,6.007135211E-1,6.537117817E-1,-3.783273924E-1,-2.620545528E-1,1.061579661E2,9.815389667E1,-6.425803069E0,-5.454695427E1
8.715420417E-1,6.002034916E-1,6.524304016E-1,-3.801956253E-1,-2.637075206E-1,1.062310539E2,9.812435425E1,-6.447218485E0,-5.486824437E1
8.815120417E-1,5.996502931E-1,6.510583637E-1,-3.821660642E-1,-2.655023652E-1,1.063102883E2,9.809131721E1,-6.466191290E0,-5.521177846E1
8.914820417E-1,5.989980917E-1,6.497993319E-1,-3.840792150E-1,-2.672922787E-1,1.064036502E2,9.807142229E1,-6.474023754E0,-5.555024322E1
9.014520417E-1,5.982762216E-1,6.487721500E-1,-3.857691140E-1,-2.689655718E-1,1.065069188E2,9.806744522E1,-6.465114001E0,-5.585780765E1
9.114210417E-1,5.974786346E-1,6.480195443E-1,-3.871813179E-1,-2.705191889E-1,1.066209384E2,9.808041241E1,-6.434176491E0,-5.612861830E1
9.213910417E-1,5.964427915E-1,6.476309925E-1,-3.883965380E-1,-2.719895660E-1,1.067688922E2,9.813058778E1,-6.373822563E0,-5.637447660E1
9.313610417E-1,5.950260568E-1,6.475307778E-1,-3.896565496E-1,-2.735244805E-1,1.069710207E2,9.822825153E1,-6.285373076E0,-5.663227252E1
9.413310417E-1,5.932611154E-1,6.476242279E-1,-3.910255109E-1,-2.751784914E-1,1.072224600E2,9.836506332E1,-6.173293003E0,-5.691262546E1
9.513000418E-1,5.913055964E-1,6.476873323E-1,-3.926214750E-1,-2.769607868E-1,1.075005758E2,9.851848280E1,-6.058887862E0,-5.722741539E1
9.612700418E-1,5.894467834E-1,6.476720014E-1,-3.943156835E-1,-2.785475840E-1,1.077644798E2,9.867015122E1,-5.971933429E0,-5.753625885E1
9.712400418E-1,5.877853968E-1,6.474903906E-1,-3.961989312E-1,-2.798052039E-1,1.079999795E2,9.881569587E1,-5.936001370E0,-5.783730476E1
9.812100418E-1,5.863352818E-1,6.471871756E-1,-3.982415466E-1,-2.806481514E-1,1.082052447E2,9.895945261E1,-5.954713958E0,-5.812078976E1
9.911790418E-1,5.850541124E-1,6.467814806E-1,-4.004065353E-1,-2.811762408E-1,1.083863742E2,9.910094507E1,-6.015632859E0,-5.839130444E1
1.001149042E0,5.839835614E-1,6.464947029E-1,-4.023384731E-1,-2.813033768E-1,1.085375686E2,9.924005698E1,-6.096067395E0,-5.860534163E1
1.011119042E0,5.830076617E-1,6.463663342E-1,-4.040244208E-1,-2.812063021E-1,1.086752704E2,9.938084820E1,-6.175491424E0,-5.877617260E1
1.021089042E0,5.820881650E-1,6.464744197E-1,-4.053438490E-1,-2.809635573E-1,1.088049051E2,9.952305802E1,-6.235782783E0,-5.889767576E1
1.031058042E0,5.812156514E-1,6.467978020E-1,-4.063169881E-1,-2.806199657E-1,1.089278188E2,9.966503039E1,-6.275359019E0,-5.897539407E1
1.041028042E0,5.804341119E-1,6.471279699E-1,-4.071597670E-1,-2.802545209E-1,1.090378369E2,9.979588128E1,-6.311727562E0,-5.903762028E1
1.050998042E0,5.798554883E-1,6.473754562E-1,-4.079117511E-1,-2.797869753E-1,1.091192418E2,9.990605993E1,-6.361739291E0,-5.908148550E1
1.060968042E0,5.794129570E-1,6.473893330E-1,-4.088213117E-1,-2.793436643E-1,1.091814725E2,9.999656065E1,-6.434339432E0,-5.914312607E1
1.070938042E0,5.788700739E-1,6.471133449E-1,-4.101742361E-1,-2.791252066E-1,1.092577823E2,1.000863016E2,-6.524259414E0,-5.926942084E1
1.080907042E0,5.781904033E-1,6.468298020E-1,-4.117054100E-1,-2.789369050E-1,1.093532687E2,1.001926913E2,-6.617400472E0,-5.941771567E1
1.090877042E0,5.773152767E-1,6.466189202E-1,-4.133173373E-1,-2.788546238E-1,1.094761316E2,1.003182919E2,-6.696119644E0,-5.958422352E1
1.100847042E0,5.762030530E-1,6.465513377E-1,-4.148904895E-1,-2.789754694E-1,1.096321473E2,1.004618456E2,-6.740827052E0,-5.976431758E1
1.110817042E0,5.748597170E-1,6.466670835E-1,-4.162877313E-1,-2.793969695E-1,1.098203826E2,1.006155690E2,-6.734021470E0,-5.995115092E1
1.120786042E0,5.732638371E-1,6.469009459E-1,-4.175391239E-1,-2.802657319E-1,1.100437238E2,1.007721415E2,-6.667757642E0,-6.015931603E1
1.130756042E0,5.715195898E-1,6.473027423E-1,-4.185146022E-1,-2.814426827E-1,1.102874810E2,1.009263375E2,-6.547181068E0,-6.036347461E1
1.140726042E0,5.696839681E-1,6.477539032E-1,-4.193715951E-1,-2.828473950E-1,1.105436183E2,1.010759923E2,-6.395307380E0,-6.057347805E1
1.150696042E0,5.678665960E-1,6.481581126E-1,-4.202228561E-1,-2.843083733E-1,1.107968188E2,1.012181634E2,-6.240813305E0,-6.078715495E1
1.160665042E0,5.661703856E-1,6.484297596E-1,-4.211781882E-1,-2.856553550E-1,1.110327910E2,1.013512385E2,-6.111426380E0,-6.100226904E1
1.170635042E0,5.645425584E-1,6.483223167E-1,-4.225875472E-1,-2.870361174E-1,1.112589365E2,1.014727941E2,-6.024485706E0,-6.126789206E1
1.180605042E0,5.630601694E-1,6.478735898E-1,-4.243509186E-1,-2.883562410E-1,1.114646117E2,1.015791328E2,-5.983002087E0,-6.156590336E1
1.190575042E0,5.616507999E-1,6.470972448E-1,-4.264766371E-1,-2.897087966E-1,1.116599228E2,1.016734857E2,-5.976604364E0,-6.190513983E1
1.200544042E0,5.603055673E-1,6.462021195E-1,-4.287587309E-1,-2.909407384E-1,1.118461352E2,1.017673459E2,-5.995984558E0,-6.225184798E1
1.210513458E0,5.591201977E-1,6.455229863E-1,-4.307882491E-1,-2.917295061E-1,1.120100493E2,1.018702373E2,-6.032272250E0,-6.253643785E1
1.220483458E0,5.580417442E-1,6.451438543E-1,-4.324981257E-1,-2.921031801E-1,1.121590416E2,1.019873827E2,-6.073655999E0,-6.275398868E1
1.230453458E0,5.570419261E-1,6.451872655E-1,-4.337413734E-1,-2.920720863E-1,1.122970539E2,1.021215951E2,-6.104483444E0,-6.288945916E1
1.240423458E0,5.559875278E-1,6.454913129E-1,-4.347205290E-1,-2.919537063E-1,1.124424796E2,1.022683258E2,-6.113089049E0,-6.299009016E1
1.250392458E0,5.547881234E-1,6.458142842E-1,-4.356859026E-1,-2.920821594E-1,1.126077550E2,1.024162130E2,-6.094295210E0,-6.310944642E1
1.260362458E0,5.534454407E-1,6.460582407E-1,-4.367446209E-1,-2.925084853E-1,1.127925856E2,1.025614928E2,-6.054453566E0,-6.326303536E1
1.270332458E0,5.519192927E-1,6.461522492E-1,-4.380447458E-1,-2.932390693E-1,1.130024313E2,1.027089241E2,-6.002768865E0,-6.346754633E1
1.280302458E0,5.502426384E-1,6.461964086E-1,-4.394969681E-1,-2.941185581E-1,1.132326789E2,1.028648168E2,-5.943242341E0,-6.370104757E1
1.290271458E0,5.483673987E-1,6.462381551E-1,-4.410999603E-1,-2.951277644E-1,1.134898367E2,1.030363872E2,-5.873014338E0,-6.396214387E1
1.300241458E0,5.462251060E-1,6.463073075E-1,-4.428588853E-1,-2.963122278E-1,1.137831542E2,1.032287547E2,-5.784305031E0,-6.425531032E1
1.310211458E0,5.438929734E-1,6.465461221E-1,-4.445471089E-1,-2.975509026E-1,1.141019085E2,1.034399103E2,-5.670725881E0,-6.454602527E1
1.320181458E0,5.414563165E-1,6.469874207E-1,-4.460196987E-1,-2.988289426E-1,1.144343365E2,1.036594606E2,-5.527484771E0,-6.481679874E1
1.330150458E0,5.390068260E-1,6.476794087E-1,-4.471272125E-1,-3.001003444E-1,1.147678905E2,1.038787733E2,-5.351848750E0,-6.504709517E1
1.340120458E0,5.365672400E-1,6.486587118E-1,-4.478228252E-1,-3.013175875E-1,1.150994794E2,1.040984079E2,-5.144597311E0,-6.522772312E1
1.350090458E0,5.340913760E-1,6.498557034E-1,-4.482810247E-1,-3.024535189E-1,1.154353765E2,1.043265437E2,-4.918795911E0,-6.537569443E1
1.360060458E0,5.316361535E-1,6.513346679E-1,-4.484988080E-1,-3.032738651E-1,1.157678602E2,1.045733665E2,-4.692658059E0,-6.547192062E1
1.370029458E0,5.291913413E-1,6.530423528E-1,-4.486069778E-1,-3.037171235E-1,1.160983334E2,1.048451748E2,-4.480371586E0,-6.552593332E1
1.379999458E0,5.266813911E-1,6.548522439E-1,-4.487884411E-1,-3.039148976E-1,1.164369944E2,1.051421571E2,-4.283889588E0,-6.556851144E1
1.389969458E0,5.240813520E-1,6.567391267E-1,-4.490390779E-1,-3.039677498E-1,1.167871582E2,1.054599831E2,-4.095033552E0,-6.560723744E1
1.399939458E0,5.212167782E-1,6.584741965E-1,-4.496579095E-1,-3.042245294E-1,1.171721880E2,1.057947886E2,-3.904318537E0,-6.570308088E1
1.409909458E0,5.180611172E-1,6.599852664E-1,-4.507268168E-1,-3.047580664E-1,1.175954306E2,1.061440760E2,-3.711718631E0,-6.587095219E1
1.419878458E0,5.148145244E-1,6.613527630E-1,-4.520380053E-1,-3.053526109E-1,1.180298833E2,1.064984808E2,-3.528204511E0,-6.607053967E1
1.429848458E0,5.116419309E-1,6.626678817E-1,-4.533986214E-1,-3.058161736E-1,1.184534801E2,1.068517907E2,-3.362119243E0,-6.626512237E1
1.439818458E0,5.086561744E-1,6.639781956E-1,-4.546608669E-1,-3.060805924E-1,1.188512808E2,1.071954500E2,-3.214285044E0,-6.643274004E1
1.449788458E0,5.059423704E-1,6.653781032E-1,-4.556208456E-1,-3.061109065E-1,1.192121420E2,1.075219296E2,-3.076932430E0,-6.654771112E1
1.459757458E0,5.033923913E-1,6.666974470E-1,-4.564519183E-1,-3.062063375E-1,1.195506125E2,1.078225464E2,-2.937975543E0,-6.665295290E1
1.469727458E0,5.009134296E-1,6.678692243E-1,-4.572059149E-1,-3.065928768E-1,1.198790991E2,1.080917007E2,-2.780697217E0,-6.677197122E1
1.479697458E0,4.982486529E-1,6.689266676E-1,-4.579545482E-1,-3.075108351E-1,1.202316014E2,1.083420144E2,-2.576088370E0,-6.693186888E1
1.489667458E0,4.951977795E-1,6.698611054E-1,-4.587815116E-1,-3.091678279E-1,1.206344140E2,1.085810628E2,-2.302544447E0,-6.715851368E1
1.499636458E0,4.918449029E-1,6.708798685E-1,-4.593975404E-1,-3.113881344E-1,1.210761720E2,1.088105098E2,-1.953970923E0,-6.740553791E1
1.509606458E0,4.881205650E-1,6.719901851E-1,-4.598888041E-1,-3.141175538E-1,1.215657471E2,1.090415752E2,-1.535397791E0,-6.767862764E1
1.519576458E0,4.841422555E-1,6.733069369E-1,-4.601487659E-1,-3.170602310E-1,1.220874188E2,1.092818457E2,-1.065603468E0,-6.794250666E1
1.529546458E0,4.801607165E-1,6.750037374E-1,-4.599771755E-1,-3.197445743E-1,1.226082016E2,1.095381883E2,-5.768851397E-1,-6.813705172E1
