time_bin,gyro_X (rad/s),gyro_Y (rad/s),gyro_Z (rad/s),linacc_X (m/s^2),linacc_Y (m/s^2),linacc_Z (m/s^2),accel_X (m/s^2),accel_Y (m/s^2),accel_Z (m/s^2),orient_w,orient_x,orient_y,orient_z,orient_Direct (°),orient_Yaw (°),orient_Pitch (°),orient_Roll (°),pressure_X (hPa),exercise_class,exercise_type,session
-2.0,,,,,,,,,,,,,,,,,,999.2904663,0,Pushup,1
0.0,0.0876261219285,0.258848025193,-0.082490000317467,0.6197303539949001,0.047556931017750007,-0.014111807668585006,1.6150849777933665,9.134204334178218,3.319720862352475,0.46058019451950005,0.36876399033299995,0.432406220086,0.673776970752,125.0301021895,69.60730363405,-5.833988871689165,107.5631220359,999.28791045,0,Pushup,1
2.0,-0.14278365150371,-0.0993739004949,0.086794213550023,0.20758696629620002,0.01482888389691999,-0.4330511223008,1.16855996702368,9.372684402219999,2.2860446457468,0.1360384084034776,0.15480947851154228,0.5294181688248757,0.7234212113422885,164.24973167761195,74.0281526360199,-5.5359915474335315,156.04529142985075,999.2818196333334,0,Pushup,1
4.0,-0.058152276931160006,-0.11559692244821002,-0.19141476380873002,-0.24686881119829998,-0.026557807926699997,0.28194140099097004,0.1064909272161683,8.800552621980199,4.387978122811881,0.5292768293338308,0.3558158612562189,0.4024640578756219,0.6478824709398009,115.76398295273631,65.00501749064676,-2.0815361074590046,100.22614759955223,999.2785645,0,Pushup,1
6.0,0.21283594443867,-0.11774534304514,-0.17663945099148,-0.03805856198455001,0.03979613221850001,-0.00036907295519999383,-0.6149182708479001,9.25088718084,2.8292380691722,0.6365162755781094,0.456076959840796,0.3745989159278607,0.4757076326905473,100.8356347338806,73.01295730771145,3.1904066756577314,75.79897699328359,999.2897034,0,Pushup,1
8.0,-0.15219869052143,0.7575274548507199,-0.01175701876759,0.4100961961667,-0.013588449687499997,-0.1831714401133,-1.7376681835537329,9.508975982524753,-0.14709955045920795,0.3470576384318408,0.20105571027855723,0.6458770344776119,0.5969213396915423,138.91059870945273,89.71101733208954,12.652555513890547,132.25196801169153,999.3148804,0,Pushup,1
10.0,-0.017184712246430003,-0.11058055566683998,-0.015968439779230004,0.026880897294199988,0.016693777282150005,-0.01535538981357002,-2.5106331115783003,9.45029201647,0.52144963991473,0.20134554473781094,0.012136966108471394,0.68677340589801,0.696927179936816,156.7612606676617,86.78691801935322,15.034623573084577,162.03709941492536,999.3498993000001,0,Pushup,1
12.0,0.30681978827089,0.05136812192962,-0.4577822795407,0.1453508497594,-0.0851723675407,0.005248238582499996,-4.306617115860792,7.859444813989109,-0.24994607606029703,0.294139849219403,-0.030403274482740196,0.7096987007114428,0.6056597165447761,145.47896405024878,95.66723986771144,28.3520170661194,161.4617258447761,999.3667984,0,Pushup,1
14.0,-0.008586623100000003,0.0029867897594500013,0.20239727681330003,-0.14269896058929998,-0.17218573091269998,-0.015691371559580017,-5.081747950815,7.081533874562,-1.1079330413656,0.35163986506119405,-0.009115722113095522,0.7368552069781095,0.5314797369084577,138.4705080129353,103.85156355308459,33.311920825414425,157.78639125920398,999.37358855,0,Pushup,1
16.0,-0.1788763052175,0.12043751753500001,0.2594640549285,-0.1918524299672,-0.19843902164309998,-0.05952073213404001,-5.056490913539406,6.809578517559406,-2.064469784271386,0.3485393334970297,0.02561389204218812,0.7676180941633663,0.4818057011311881,138.8451296950495,110.60510554623762,32.26298603982311,156.6971975920792,999.3825531,0,Pushup,1
18.0,-0.01679758246869999,0.024209520932675,0.2312463671874,-0.11830242024630003,-0.10736883375650001,-0.1444015736521,-5.696056988578,6.498991777024,-2.2545770828439,0.37586289917761195,-0.005015988702119402,0.76893284899801,0.4647365384606965,135.54534374825872,112.47564883820895,36.908049529820396,158.16816932189056,999.3892288,0,Pushup,1
20.0,0.14231806321791,0.002949539643300009,-0.252499497498,-0.08841287394470002,-0.013508831081460051,-0.09551085052896,-5.542023323026931,6.710736535716218,-1.8689985460106862,0.37476563245174127,-0.013471487982786069,0.7588053106333333,0.48644806112587063,135.70078132089552,109.33288150915423,36.73977269614393,157.90588302089552,999.3939972,0,Pushup,1
22.0,0.21740817131425,0.05304410385441001,-0.3360227562032,-0.05810882404529999,-0.12135803704228003,0.011640941903199989,-4.1759755141657005,7.315886535782,-1.3042812332376,0.32612434008855723,0.030612189802462685,0.7378367651417911,0.5323273627288557,141.59900378159205,105.3840975561194,27.7411874297302,157.3912551482587,999.3976593,0,Pushup,1
24.0,-0.025562242134799996,0.03766453474064999,0.12634907321221,-0.08576077577389998,-0.2000933509927,0.02936468356980001,-4.05574326610297,7.642594766138615,-1.3071767614546534,0.31249289509751244,0.039019224191947616,0.7424852651965175,0.5508909875218906,143.3386659681592,102.52055415855722,25.725179106632837,155.45761958855724,999.39983365,0,Pushup,1
26.0,-0.2005039919656,0.009950832033020003,0.36625001337062996,-0.2170427847113,0.013578179054800021,-0.14601347523310998,-4.927353016643,6.988484371984,-1.9116402236932002,0.36182592165323385,0.043774185824873135,0.7550569813945274,0.4835948655069652,137.19809333830847,108.63122924278606,31.832721832689057,153.5092286960199,999.40387725,0,Pushup,1
28.0,0.0761602345069,0.02042868230372999,0.1349723505527,0.10600097776280001,-0.10691672704819999,-0.15287672207671,-5.630582727027624,6.67893286989994,-2.3465915249695346,0.3831355018810946,8.068322244776115e-05,0.7745711213417911,0.467464844018408,134.78129779850747,110.82935843004975,37.16905991502338,155.45963488905474,999.408226,0,Pushup,1
30.0,0.24886844622298,0.0488830851522,-0.37664610951360006,-0.15607138561089998,0.03124978329356,0.008762950953289996,-4.734251113804861,7.248839327449505,-1.5886004487563368,0.343991624739801,0.03896142974960846,0.7484882058109452,0.5055874623422886,139.3983410845771,106.47066161452736,29.964128383244777,154.75861777661692,999.4136429,0,Pushup,1
32.0,0.10157919484412,0.04318546361819999,-0.09520435123177001,-0.022258229379199978,-0.0876486399591,-0.02753021081169999,-3.122991705277,8.18641625993,-1.0536304641676,0.29698109059004973,0.08701686539789552,0.7285316945388061,0.572679355642786,145.21796533432837,99.53402698009951,20.128147878549253,151.57189418557215,999.4181441999999,0,Pushup,1
34.0,-0.32316407138576997,0.05338326015629999,0.53551549313882,-0.09702057840749999,-0.00786019273856001,-0.019216108085359992,-4.733084727374456,7.223284053756435,-1.754611168319109,0.3494566200402985,0.03868840561190497,0.7577521126850746,0.49833767549203983,138.7473300109453,107.06075716298508,30.86033437486607,153.86501971840795,999.4190216,0,Pushup,1
36.0,0.15568774483733,0.031117498237500003,-0.26660874984702,-0.002546602349999996,0.05397860054211,-0.12782255672020001,-5.26100019359,7.492653945649501,-1.645842453013,0.343017210978607,-0.026410970871158703,0.7507158987761194,0.5344031876139304,139.7273512199005,103.80802599039801,33.55343847694577,158.7462465870647,999.4196701000001,0,Pushup,1
38.0,0.2074757497453,-0.026505092983099995,-0.2402163120966,0.004968343897999983,-0.08273284778423,0.0457468717334,-3.2409534719319804,8.048546130465347,-0.5562921943190099,0.2911930038766169,0.06367324927119876,0.7124934874885572,0.592560775221393,145.86972005024876,97.05316646442786,20.73087086269229,154.0918534920398,999.42195895,0,Pushup,1
40.0,-0.24043741254406,0.09433848417338402,0.398919192939509,-0.12647462803051998,-0.146962608432,0.016707606323000015,-2.3876698150966003,8.56970470726,0.24838897244729996,0.2745919575955224,0.10742645314622835,0.6796122657402985,0.6381504985562189,147.90092148507463,90.40815912855722,14.390583807405969,150.1762792915423,999.4258881,0,Pushup,1
42.0,-0.031241690620799997,0.03152158417440001,0.1806627100396,0.0029467847581000272,0.033566654843699986,-0.04143487028883002,-4.696282050927416,7.677993925475247,-1.2374603513376237,0.33061891427975126,-0.005899465698985074,0.7400453939945274,0.5494574554149253,141.13112334577113,101.161012349403,30.867115900798506,157.27869546965175,999.4295883,0,Pushup,1
44.0,0.2615322263442,-0.0320258663596,-0.3527331760139,-0.0674080783333,0.03334474422339998,-0.07538488575669,-5.765705653390699,6.9027052505799995,-1.5002567001515001,0.35316311835094527,-0.05800990248429055,0.7466371354134329,0.5206995280432836,138.36800951791045,105.14500715507462,37.36652293722293,161.89598101393034,999.4320297500001,0,Pushup,1
46.0,0.03495873523270001,0.1083027063047,-0.014872097550868001,0.03339036984910001,-0.2250123948361,0.09576613870156998,-1.7712414369379208,8.989178194792078,0.8767120165156436,0.24022440726616914,0.09451748578431343,0.6636961323726368,0.6858399975412935,152.11037787860698,85.69100984129354,11.129908753022352,152.82345393482586,999.4319153,0,Pushup,1
48.0,-0.18173500680680998,-0.021291722242740008,0.4321397668517,-0.1404887686144,0.1190518951444,-0.15253215587650001,-4.656423916526,7.63652576291,-1.3738864883663,0.3288268558119403,0.008896076433212935,0.7375831545542288,0.5476513912915423,141.36034192935324,101.62796815407961,29.420935602382087,156.60856760895524,999.42897795,0,Pushup,1
50.0,0.2183012043486,0.05925068805705,-0.35664742966491,0.011140233955000021,0.07301263233411999,0.020948086405700006,-4.973515936242574,7.67642145280198,-0.9830250957227722,0.33283286147512436,-0.02066862610717413,0.7327621072925373,0.5606304234094527,140.9047982691542,99.42387492935323,31.77637908590099,157.8135228597015,999.42642215,0,Pushup,1
52.0,-0.15728730196997,-0.11384474091446001,0.388347500326314,-0.010834452041749971,-0.091137574168,0.0526417238637,0.18627713473499996,9.31350496668,1.22010827179,0.19146382797920397,0.17823080911488606,0.6302248035850746,0.7176579870084576,157.8729563164179,83.1979721159204,-0.8823754906809452,150.19913233383085,999.4248580999999,0,Pushup,1
54.0,0.025501621095470002,0.05433030711040401,-0.10558144030809,-0.027667825894699995,0.0061861845909199995,-0.1759814348476,0.06579930822986634,9.741660429732674,-0.4044352103009901,0.23023188851094525,0.24377278428109456,0.6713197969169155,0.6570882013223881,153.35995422238807,91.37225891557213,-0.5215304333675622,140.88575735671643,999.4230652,0,Pushup,1
56.0,-0.350616188035763,0.22019284379727,0.16500239345252599,-0.0712725560498,-0.115800667860438,0.04949155541284,0.8291692336936001,7.038043313619999,6.304074609355999,0.05298433900206318,0.05646709093807164,0.04787765526169154,-0.07036232212885572,173.918296420398,49.21710929283582,-5.330791107884079,7.279100444278607,999.4193268,0,Pushup,1
