"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
8.715250064E-3,5.757754258E-1,5.610507763E-1,-3.802559269E-1,-4.572855566E-1,1.096920923E2,8.532602121E1,4.314828192E0,-7.293704102E1
1.868525008E-2,5.756390070E-1,5.610035612E-1,-3.804802429E-1,-4.573285780E-1,1.097112109E2,8.533964073E1,4.306243162E0,-7.296247987E1
2.865525009E-2,5.753435997E-1,5.610556653E-1,-3.807388455E-1,-4.574214275E-1,1.097526035E2,8.536905076E1,4.310786232E0,-7.299624339E1
3.862425010E-2,5.750011250E-1,5.611778279E-1,-3.809734137E-1,-4.575068065E-1,1.098005780E2,8.540538617E1,4.322198578E0,-7.302683525E1
4.859425011E-2,5.747593812E-1,5.613302625E-1,-3.810781592E-1,-4.575362144E-1,1.098344335E2,8.543423255E1,4.335775385E0,-7.303934397E1
5.856425012E-2,5.746866146E-1,5.614719919E-1,-3.810090910E-1,-4.575113689E-1,1.098446228E2,8.544642849E1,4.349372720E0,-7.302997467E1
6.853325013E-2,5.747410157E-1,5.615798035E-1,-3.808244036E-1,-4.574644700E-1,1.098370052E2,8.544409059E1,4.361831316E0,-7.300762151E1
7.850325014E-2,5.748156788E-1,5.616603461E-1,-3.806386624E-1,-4.574263060E-1,1.098265498E2,8.543814885E1,4.372604820E0,-7.298617569E1
8.847325016E-2,5.747936044E-1,5.617167175E-1,-3.805919005E-1,-4.574235981E-1,1.098296411E2,8.544130356E1,4.379448183E0,-7.298143783E1
9.844225016E-2,5.746527233E-1,5.617419740E-1,-3.807359057E-1,-4.574498397E-1,1.098493684E2,8.545721713E1,4.379121695E0,-7.299750840E1
1.084122502E-1,5.744604494E-1,5.617516573E-1,-3.809880387E-1,-4.574694802E-1,1.098762882E2,8.548065183E1,4.372666016E0,-7.302289781E1
1.183822502E-1,5.743048538E-1,5.617639431E-1,-3.812164957E-1,-4.574595230E-1,1.098980696E2,8.550236741E1,4.364403210E0,-7.304291958E1
1.283512500E-1,5.742094596E-1,5.618206833E-1,-3.813333162E-1,-4.574122079E-1,1.099114221E2,8.552000732E1,4.360801486E0,-7.304850517E1
1.383212500E-1,5.741339957E-1,5.619574919E-1,-3.813187334E-1,-4.573510317E-1,1.099219842E2,8.553640324E1,4.368311705E0,-7.304027052E1
1.482912500E-1,5.740331804E-1,5.621670355E-1,-3.812229863E-1,-4.572997812E-1,1.099360934E2,8.555502996E1,4.386749228E0,-7.302543348E1
1.582602500E-1,5.738827689E-1,5.624194846E-1,-3.811011924E-1,-4.572797509E-1,1.099571414E2,8.557689543E1,4.413345848E0,-7.301145069E1
1.682302500E-1,5.736813544E-1,5.626636624E-1,-3.810150654E-1,-4.573038957E-1,1.099853223E2,8.560082503E1,4.442241762E0,-7.300553269E1
1.781992500E-1,5.734527498E-1,5.628572639E-1,-3.810056455E-1,-4.573602882E-1,1.100173016E2,8.562497071E1,4.466698342E0,-7.301028779E1
1.881692500E-1,5.732480215E-1,5.629978658E-1,-3.810568118E-1,-4.574012339E-1,1.100459357E2,8.564762000E1,4.482333854E0,-7.301910162E1
1.981392500E-1,5.731135784E-1,5.631501108E-1,-3.810742501E-1,-4.573676797E-1,1.100647366E2,8.566885262E1,4.492906098E0,-7.301675560E1
2.081082501E-1,5.730472023E-1,5.633538381E-1,-3.809903041E-1,-4.572698516E-1,1.100740181E2,8.568785725E1,4.505718607E0,-7.299800358E1
