"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780513248877000E9,"2026-06-03 21:00:48.877 UTC+02:00"
"PAUSE",5.663100262498483E1,1.780513305507000E9,"2026-06-03 21:01:45.507 UTC+02:00"
