"Time (s)","X (hPa)"
-5.476890835E-1,1.012346725E3
4.834559166E-1,1.012352600E3
1.514608917E0,1.012358475E3
2.545775917E0,1.012371521E3
3.576917917E0,1.012382584E3
3.771397917E0,1.012387924E3
4.835792917E0,1.012388229E3
5.900154917E0,1.012396088E3
6.964495917E0,1.012400818E3
8.028857917E0,1.012403488E3
9.093243917E0,1.012404556E3
1.015763992E1,1.012407074E3
1.122204992E1,1.012407074E3
1.228646192E1,1.012405396E3
1.335086492E1,1.012405243E3
1.441526392E1,1.012403717E3
1.547964692E1,1.012402267E3
1.654405292E1,1.012400970E3
1.760848292E1,1.012399292E3
1.867291792E1,1.012397766E3
1.973732292E1,1.012393875E3
2.080173092E1,1.012391129E3
2.186611592E1,1.012391129E3
2.293050392E1,1.012392578E3
2.399489592E1,1.012392960E3
2.505928392E1,1.012395096E3
2.612369892E1,1.012395096E3
2.718809392E1,1.012394485E3
2.825248892E1,1.012393646E3
2.931691992E1,1.012391968E3
3.038135592E1,1.012391281E3
3.144576292E1,1.012387924E3
