"Time (s)","X (hPa)"
-5.346830417E-1,1.014921799E3
4.928179581E-1,1.014923630E3
1.520287958E0,1.014925461E3
2.547798958E0,1.014927368E3
3.575346958E0,1.014929123E3
3.774809958E0,1.014929657E3
4.835438958E0,1.014929657E3
5.896118958E0,1.014928818E3
6.956810958E0,1.014927368E3
8.017437958E0,1.014923859E3
9.078072958E0,1.014919968E3
1.013872796E1,1.014914322E3
1.119931696E1,1.014910736E3
1.225992296E1,1.014906998E3
1.332052896E1,1.014906998E3
1.438120796E1,1.014907990E3
1.544185196E1,1.014912262E3
1.650251196E1,1.014915848E3
1.756320196E1,1.014918518E3
1.862388696E1,1.014918518E3
1.968456596E1,1.014916382E3
2.074525796E1,1.014912415E3
2.180590996E1,1.014910126E3
2.286655196E1,1.014908066E3
2.392724996E1,1.014908066E3
2.498788096E1,1.014910126E3
2.604850696E1,1.014913254E3
2.710914496E1,1.014915848E3
2.816976996E1,1.014918900E3
2.923043996E1,1.014920197E3
3.029108996E1,1.014921036E3
3.135169796E1,1.014921036E3
3.241228996E1,1.014919357E3
3.347290896E1,1.014915619E3
