"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.248250017E-2,8.517231130E-1,8.104028432E-2,1.679487560E-1,4.896871634E-1,6.320083565E1,1.801172304E1,1.193037464E1,6.168991062E1
2.248950000E-2,8.514601588E-1,8.028555807E-2,1.684496739E-1,4.900965357E-1,6.325831753E1,1.797445686E1,1.201460532E1,6.175606667E1
3.249650006E-2,8.509076768E-1,7.916070610E-2,1.687724082E-1,4.911269629E-1,6.337893805E1,1.789728483E1,1.209091742E1,6.189620273E1
4.250450013E-2,8.501621412E-1,7.787416301E-2,1.685182311E-1,4.927083548E-1,6.354138173E1,1.777415096E1,1.211046433E1,6.208911399E1
5.251149996E-2,8.493208480E-1,7.638430353E-2,1.680321199E-1,4.945551033E-1,6.372424453E1,1.761944044E1,1.211496086E1,6.230849737E1
6.251850002E-2,8.485573368E-1,7.482002324E-2,1.673833323E-1,4.963217938E-1,6.388979524E1,1.744573496E1,1.211057885E1,6.251170633E1
7.252650009E-2,8.479990491E-1,7.333020591E-2,1.664695571E-1,4.978034347E-1,6.401060533E1,1.725822333E1,1.208273960E1,6.266897534E1
8.253350016E-2,8.476572487E-1,7.189292461E-2,1.653942329E-1,4.989521786E-1,6.408446839E1,1.706079515E1,1.204342500E1,6.277721504E1
9.254049999E-2,8.474969326E-1,7.037294594E-2,1.643409779E-1,4.997885302E-1,6.411908649E1,1.685238689E1,1.201769493E1,6.284431146E1
1.025475000E-1,8.474462089E-1,6.854294558E-2,1.634169346E-1,5.004315014E-1,6.413003613E1,1.661916365E1,1.202696579E1,6.288809470E1
1.125555001E-1,8.474445335E-1,6.633834930E-2,1.624326371E-1,5.010515553E-1,6.413039775E1,1.634466771E1,1.205364577E1,6.292469937E1
1.225625002E-1,8.474689682E-1,6.387928089E-2,1.610847071E-1,5.017645219E-1,6.412512333E1,1.602255459E1,1.205929558E1,6.296078088E1
1.325695000E-1,8.475057834E-1,6.132629349E-2,1.592813541E-1,5.025958475E-1,6.411717571E1,1.566315774E1,1.202503446E1,6.299833864E1
1.425775001E-1,8.475221469E-1,5.876443418E-2,1.571781052E-1,5.035354588E-1,6.411364290E1,1.528504141E1,1.196088631E1,6.304205194E1
1.525845001E-1,8.475573922E-1,5.632880996E-2,1.548841576E-1,5.044645333E-1,6.410603300E1,1.490713007E1,1.187133727E1,6.308064347E1
1.625915000E-1,8.474281595E-1,5.403931412E-2,1.524921711E-1,5.056594913E-1,6.413393201E1,1.454123065E1,1.175933938E1,6.315445067E1
1.725995000E-1,8.471586725E-1,5.186320911E-2,1.501334649E-1,5.070428352E-1,6.419207449E1,1.419151005E1,1.164106771E1,6.325689950E1
1.826065001E-1,8.467188491E-1,4.970821440E-2,1.478769490E-1,5.086539196E-1,6.428686662E1,1.385376657E1,1.152829540E1,6.339469531E1
