"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780745577360571E9,"2026-06-06 13:32:57.361 UTC+02:00"
"PAUSE",4.249864720832556E1,1.780745619858748E9,"2026-06-06 13:33:39.859 UTC+02:00"
"START",4.249864720832556E1,1.780745734707761E9,"2026-06-06 13:35:34.708 UTC+02:00"
"PAUSE",8.270306145833456E1,1.780745774911730E9,"2026-06-06 13:36:14.912 UTC+02:00"
"START",8.270306145833456E1,1.780745868312312E9,"2026-06-06 13:37:48.312 UTC+02:00"
"PAUSE",1.306669360833330E2,1.780745916275656E9,"2026-06-06 13:38:36.276 UTC+02:00"
