"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
3.535813335E-1,1.500312746E-1,1.540079984E-1,3.699219621E-1,9.038417373E-1,1.627425221E2,4.648100275E1,-9.636566818E0,1.570042132E2
3.635493335E-1,1.496968815E-1,1.555542925E-1,3.695375302E-1,9.037896438E-1,1.627812784E2,4.648244272E1,-9.819187350E0,1.569653767E2
3.735183335E-1,1.493922862E-1,1.570545728E-1,3.691702415E-1,9.037307646E-1,1.628165794E2,4.648494623E1,-9.995319353E0,1.569254088E2
3.834863335E-1,1.490756791E-1,1.584772607E-1,3.688400420E-1,9.036694831E-1,1.628532708E2,4.648955413E1,-1.016316481E1,1.568902120E2
3.934553335E-1,1.486817325E-1,1.597964992E-1,3.685555929E-1,9.036180218E-1,1.628989225E2,4.649589322E1,-1.032287580E1,1.568680700E2
4.034233335E-1,1.481824610E-1,1.609730917E-1,3.683100665E-1,9.035913007E-1,1.629567757E2,4.650150053E1,-1.047191795E1,1.568641131E2
4.133913335E-1,1.475982213E-1,1.620077863E-1,3.680864880E-1,9.035931552E-1,1.630244690E2,4.650438974E1,-1.060985598E1,1.568763196E2
4.233603335E-1,1.470489636E-1,1.629921892E-1,3.678834455E-1,9.035883504E-1,1.630881036E2,4.650842225E1,-1.074054612E1,1.568870719E2
4.333283335E-1,1.466607490E-1,1.640040929E-1,3.676906237E-1,9.035468358E-1,1.631330773E2,4.651604458E1,-1.086637864E1,1.568788815E2
4.432963335E-1,1.464737856E-1,1.650162178E-1,3.674981706E-1,9.034711400E-1,1.631547357E2,4.652550816E1,-1.098296218E1,1.568489096E2
4.532653333E-1,1.464261596E-1,1.659579891E-1,3.673082991E-1,9.033835589E-1,1.631602527E2,4.653417970E1,-1.108589284E1,1.568074598E2
4.632333333E-1,1.464229565E-1,1.668183328E-1,3.671560225E-1,9.032875484E-1,1.631606237E2,4.654516333E1,-1.117753440E1,1.567649536E2
4.732013335E-1,1.463602420E-1,1.675722345E-1,3.670663551E-1,9.031946567E-1,1.631678885E2,4.655973881E1,-1.125949491E1,1.567336208E2
4.831703333E-1,1.461831830E-1,1.682255423E-1,3.670122912E-1,9.031238079E-1,1.631883986E2,4.657426411E1,-1.133557288E1,1.567193917E2
4.931383333E-1,1.459625864E-1,1.688698095E-1,3.669482175E-1,9.030653080E-1,1.632139512E2,4.658691008E1,-1.141298594E1,1.567104180E2
5.031073333E-1,1.458049572E-1,1.696575657E-1,3.668499837E-1,9.029830374E-1,1.632322095E2,4.660097683E1,-1.150296918E1,1.566875347E2
5.130753333E-1,1.457585535E-1,1.705908129E-1,3.667311823E-1,9.028629610E-1,1.632375844E2,4.661869792E1,-1.160315373E1,1.566452401E2
5.230433333E-1,1.458118693E-1,1.716123998E-1,3.666098942E-1,9.027100101E-1,1.632314089E2,4.664026207E1,-1.170778325E1,1.565875111E2
5.330123333E-1,1.459391528E-1,1.726293927E-1,3.665163387E-1,9.025334991E-1,1.632166656E2,4.666591959E1,-1.180780837E1,1.565216026E2
5.429803333E-1,1.461010388E-1,1.736016994E-1,3.664622433E-1,9.023427846E-1,1.631979138E2,4.669533943E1,-1.190065976E1,1.564537220E2
5.529483333E-1,1.463200760E-1,1.746118119E-1,3.664097494E-1,9.021336098E-1,1.631725413E2,4.672701236E1,-1.199463877E1,1.563775477E2
5.629173333E-1,1.465966015E-1,1.757372381E-1,3.663214728E-1,9.019059747E-1,1.631405084E2,4.675917380E1,-1.209855857E1,1.562894103E2
5.728853333E-1,1.468983308E-1,1.769474427E-1,3.661776256E-1,9.016785924E-1,1.631055544E2,4.678805910E1,-1.221130690E1,1.561946235E2
5.828533333E-1,1.472053706E-1,1.782200247E-1,3.659952562E-1,9.014519688E-1,1.630699835E2,4.681482410E1,-1.233109747E1,1.560963027E2
5.928223333E-1,1.474546270E-1,1.795242273E-1,3.658046154E-1,9.012297706E-1,1.630411057E2,4.684149287E1,-1.245694948E1,1.560024895E2
6.027903333E-1,1.475731861E-1,1.807791181E-1,3.656572595E-1,9.010193314E-1,1.630273695E2,4.687072286E1,-1.258269914E1,1.559247215E2
6.127583333E-1,1.475151078E-1,1.818324943E-1,3.655759583E-1,9.008498168E-1,1.630340985E2,4.689914700E1,-1.269444278E1,1.558758081E2
6.227273333E-1,1.472520271E-1,1.826289327E-1,3.655178061E-1,9.007554079E-1,1.630645782E2,4.691900256E1,-1.278901430E1,1.558624187E2
6.326953333E-1,1.468387773E-1,1.832122240E-1,3.654428480E-1,9.007347980E-1,1.631124535E2,4.692741052E1,-1.286936453E1,1.558768572E2
6.426643333E-1,1.463674069E-1,1.837089563E-1,3.652961875E-1,9.007698642E-1,1.631670586E2,4.692318466E1,-1.294549672E1,1.559031657E2
6.526323333E-1,1.459214511E-1,1.842834916E-1,3.650579840E-1,9.008214941E-1,1.632187160E2,4.691083333E1,-1.303072198E1,1.559237789E2
6.626003333E-1,1.455799774E-1,1.850230423E-1,3.647902672E-1,9.008335481E-1,1.632582683E2,4.690207659E1,-1.312860921E1,1.559246174E2
6.725693333E-1,1.453742164E-1,1.858534090E-1,3.645714092E-1,9.007844049E-1,1.632821003E2,4.690417578E1,-1.322814807E1,1.559052058E2
6.825373333E-1,1.452975935E-1,1.865886397E-1,3.644259393E-1,9.007036515E-1,1.632909749E2,4.691314178E1,-1.331012534E1,1.558758994E2
6.925053333E-1,1.453700018E-1,1.871357058E-1,3.643323312E-1,9.006163233E-1,1.632825885E2,4.692300243E1,-1.336472522E1,1.558398493E2
7.024743333E-1,1.456163079E-1,1.875481548E-1,3.642840731E-1,9.005101975E-1,1.632540603E2,4.693520722E1,-1.339639215E1,1.557915798E2
7.124423333E-1,1.460251745E-1,1.879004129E-1,3.642920862E-1,9.003673618E-1,1.632067014E2,4.695379323E1,-1.341291482E1,1.557281675E2
7.224103333E-1,1.465485119E-1,1.881969160E-1,3.643616707E-1,9.001922417E-1,1.631460792E2,4.697906777E1,-1.341682119E1,1.556544998E2
7.323793333E-1,1.470977275E-1,1.883821725E-1,3.645324286E-1,8.999947837E-1,1.630824542E2,4.701286234E1,-1.340555179E1,1.555826406E2
7.423473333E-1,1.475636188E-1,1.884349667E-1,3.648475764E-1,8.997796662E-1,1.630284780E2,4.705853245E1,-1.338089042E1,1.555249811E2
7.523163334E-1,1.479374613E-1,1.884356094E-1,3.653204535E-1,8.995261950E-1,1.629851634E2,4.712069088E1,-1.335102842E1,1.554779612E2
7.622843334E-1,1.482249450E-1,1.884205841E-1,3.659714327E-1,8.992174693E-1,1.629518530E2,4.720331300E1,-1.331885443E1,1.554387312E2
7.722523334E-1,1.484202535E-1,1.883337089E-1,3.667888813E-1,8.988703479E-1,1.629292220E2,4.730276172E1,-1.327925563E1,1.554111283E2
7.822213334E-1,1.485380539E-1,1.881727079E-1,3.677261008E-1,8.985015208E-1,1.629155717E2,4.741335951E1,-1.323257129E1,1.553943497E2
7.921893334E-1,1.485987454E-1,1.879917188E-1,3.687209877E-1,8.981216091E-1,1.629085389E2,4.752975446E1,-1.318499516E1,1.553841200E2
8.021573334E-1,1.486226848E-1,1.878338156E-1,3.697412154E-1,8.977310764E-1,1.629057649E2,4.764982036E1,-1.314079000E1,1.553763087E2
8.121263334E-1,1.486432103E-1,1.877488371E-1,3.707656051E-1,8.973228842E-1,1.629033864E2,4.777320255E1,-1.310398665E1,1.553648841E2
8.220943334E-1,1.486642416E-1,1.877357715E-1,3.717590063E-1,8.969110674E-1,1.629009493E2,4.789556280E1,-1.307521954E1,1.553499257E2
