time_bin,gyro_X (rad/s),gyro_Y (rad/s),gyro_Z (rad/s),linacc_X (m/s^2),linacc_Y (m/s^2),linacc_Z (m/s^2),accel_X (m/s^2),accel_Y (m/s^2),accel_Z (m/s^2),orient_w,orient_x,orient_y,orient_z,orient_Direct (°),orient_Yaw (°),orient_Pitch (°),orient_Roll (°),pressure_X (hPa),exercise_class,exercise_type,session
-2.0,,,,,,,,,,,,,,,,,,1012.283783,1,Pullup,3
0.0,-0.36634227213227727,0.23978624371064358,-0.3160871640051782,0.29213001948663364,-0.1642678931815841,-0.07106297826273268,-3.2834460387751,-8.1805140337,1.48036905671861,0.6232494145505,-0.614052988722,-0.10954664632764001,0.41477819166049995,102.6910008122,-76.4410615838,22.438260970405,51.5618203093,1012.2904585,1,Pullup,3
2.0,0.12405527710669001,-0.18491990970684,0.07620300572607,0.039541957375599984,0.1914500436094,-0.6286905506443999,-1.7237389663572,-9.029090409970001,1.3758025039969999,0.6801246071442211,-0.595849739441206,-0.18284101561904523,0.3650349313934673,94.1903221080402,-77.43493025819096,10.401495158025124,48.11375354723618,1012.2826386666667,1,Pullup,3
4.0,0.0427320225435,0.058788601701920004,-0.013609461064960002,-0.1352736486536,-0.9243250904482,0.3367790291528,-1.5511269149422,-10.014808598594,3.596543948362,0.7085760726895001,-0.5379492382725001,-0.2038368498935,0.4030738132855,89.71392077615,-70.21334244785,8.34911331009,53.48435843565,1012.271576,1,Pullup,3
6.0,-0.030209356017010004,0.1391413518081,-0.01765279339339,0.40476618432227,0.861523176027097,-0.4025922319231,-2.96587692719,-7.5372791474389995,3.29226420137,0.7321906470305,-0.553351660236,-0.059115916880160005,0.389504807525,85.8465604288,-66.25456927495,20.14015437455,42.751562586,1012.264099,1,Pullup,3
8.0,0.022219535689970003,0.05374139822529601,0.02991012801417031,0.2243093197832,-0.028982145384899995,-0.10255302605460001,-3.490100299051,-8.4728710739,3.1592552948550003,0.725254251835,-0.5735039763925,-0.0341490281871605,0.3727262036645,86.99994108665,-68.85535143825,22.3101122872,39.0175078109,1012.264099,1,Pullup,3
10.0,0.016893141810720002,0.0421845197871,-0.05606432276828,-0.12529897264586998,-0.2651579917783,-0.007739246027339994,-3.8937958099475996,-8.51398906838,3.672087355,0.752267177942,-0.5575181547975,-0.0019195873825100002,0.34555720820349994,82.3317594365,-65.98281979415,22.5627778181,34.5773582617,1012.263336,1,Pullup,3
12.0,0.069624898657,0.01713863028005,0.049028562806212,-0.09579438439434,-0.6554066841089,0.19676897793210002,-4.90564066776,-8.1650496917,3.963983354125,0.7464533844435001,-0.5465883033015,0.06336021357928251,0.3651401490935,83.2895167196,-63.3714529654,29.5431283303,33.442877386999996,1012.2606275,1,Pullup,3
14.0,0.015655580466629994,0.09531734290089,0.017791550601298996,0.16473368844280004,0.03766435435542001,-0.32356622504333,-5.3897594375599995,-6.99817971043,3.370249031086,0.7497988636690001,-0.5402222214005,0.12406659583850001,0.35534682834900005,82.77738924495002,-62.24499311125,34.70039976575,29.1963143352,1012.2637175,1,Pullup,3
16.0,-0.20891702053894,-0.4073443408208,-0.43375092094791,0.25021097398880005,0.10660441265789002,-0.24558442676074999,-2.3425982389050506,-9.105652577030304,-0.04349893742141414,0.6378270340356784,-0.6699703935768844,-0.12918348538704572,0.3172757058683417,100.64371276125628,-88.50967222135678,15.62896089637221,38.09296504085427,1012.275543,1,Pullup,3
18.0,0.3372335933612895,-0.3960968835836973,0.6287470932815868,0.4048200562475658,-0.42203380909631577,0.11154752725798685,-0.7103537328548684,-7.132519822369737,5.225375223739605,0.5754691339598684,-0.37500516060460526,-0.21957901670657895,0.6059856092756579,109.28851359427632,-53.2397101044079,7.124249918776974,87.2947401769079,,1,Pullup,3
