"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780576037037490E9,"2026-06-04 14:27:17.037 UTC+02:00"
"PAUSE",4.481811058332823E1,1.780576081854752E9,"2026-06-04 14:28:01.855 UTC+02:00"
"START",4.481811058332823E1,1.780576556546994E9,"2026-06-04 14:35:56.547 UTC+02:00"
"PAUSE",9.560689904166793E1,1.780576607334821E9,"2026-06-04 14:36:47.335 UTC+02:00"
"START",9.560689904166793E1,1.780576788169986E9,"2026-06-04 14:39:48.170 UTC+02:00"
"PAUSE",1.526382367500046E2,1.780576845200244E9,"2026-06-04 14:40:45.200 UTC+02:00"
