"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781210200507082E9,"2026-06-11 22:36:40.507 UTC+02:00"
"PAUSE",5.475655370834284E1,1.781210255261904E9,"2026-06-11 22:37:35.262 UTC+02:00"
