"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780928394775474E9,"2026-06-08 4:19:54.775 UTC+02:00"
"PAUSE",2.878949562506750E1,1.780928423565423E9,"2026-06-08 4:20:23.565 UTC+02:00"
