"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780928325743768E9,"2026-06-08 4:18:45.744 UTC+02:00"
"PAUSE",1.953400420816615E1,1.780928345278079E9,"2026-06-08 4:19:05.278 UTC+02:00"
