"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
1.640801500E0,3.468480909E0,1.376257102E0,9.072577229E0
1.660701500E0,3.465970992E0,1.349971382E0,9.077484212E0
1.680600500E0,3.489772083E0,1.319466897E0,9.072849709E0
1.700500500E0,3.501344308E0,1.294621200E0,9.071970288E0
1.720400500E0,3.487936057E0,1.275056709E0,9.079902620E0
1.740300500E0,3.482631756E0,1.247935276E0,9.085704812E0
1.760199500E0,3.502328979E0,1.216547642E0,9.082389441E0
1.780099500E0,3.525876301E0,1.187385896E0,9.077136887E0
1.799999500E0,3.528409899E0,1.166005626E0,9.078923796E0
1.819899500E0,3.508621460E0,1.148973636E0,9.088758813E0
1.839799500E0,3.492958816E0,1.130892876E0,9.097055427E0
1.859698500E0,3.487041433E0,1.108686028E0,9.102057720E0
1.879598500E0,3.486219315E0,1.085435598E0,9.105174871E0
1.899498500E0,3.488895001E0,1.065680854E0,9.106483478E0
1.919398500E0,3.480828182E0,1.053058835E0,9.111037290E0
1.939297500E0,3.452612443E0,1.045917849E0,9.122588464E0
1.959197500E0,3.413021823E0,1.039985484E0,9.138151413E0
1.979097500E0,3.364464498E0,1.036974021E0,9.156481850E0
1.998998292E0,3.306303413E0,1.035587208E0,9.177800213E0
2.018898292E0,3.244870226E0,1.034904838E0,9.199776388E0
2.038797292E0,3.198201552E0,1.037119617E0,9.215855062E0
2.058697292E0,3.178410481E0,1.043224987E0,9.222011011E0
2.078597292E0,3.174463903E0,1.072388048E0,9.220025296E0
2.098497292E0,3.179985428E0,1.157495003E0,9.207822742E0
2.118396292E0,3.194173990E0,1.240268553E0,9.192120629E0
2.138296292E0,3.185877668E0,1.267416737E0,9.191296756E0
2.158196292E0,3.137776133E0,1.291290042E0,9.204511464E0
2.178096292E0,3.028685507E0,1.309886234E0,9.238363334E0
2.197996292E0,2.875392271E0,1.303474908E0,9.288120216E0
2.217895292E0,2.701992798E0,1.295176101E0,9.341191299E0
2.237795292E0,2.559042116E0,1.307020660E0,9.379717433E0
2.257695292E0,2.499545235E0,1.340996052E0,9.390958706E0
2.277595292E0,2.521849439E0,1.393696715E0,9.377312474E0
2.297494292E0,2.566768042E0,1.452009388E0,9.356253142E0
2.317394292E0,2.571503702E0,1.502417065E0,9.346989398E0
2.337294292E0,2.540237471E0,1.531141950E0,9.350876627E0
2.357194292E0,2.491897662E0,1.535347122E0,9.363186185E0
2.377093292E0,2.436165365E0,1.526426610E0,9.379297603E0
2.396993292E0,2.391087133E0,1.500144106E0,9.395124847E0
2.416893292E0,2.376567473E0,1.463078314E0,9.404649376E0
2.436793292E0,2.390027325E0,1.429384464E0,9.406419328E0
2.456693292E0,2.417402527E0,1.401835308E0,9.403569980E0
2.476592292E0,2.454192477E0,1.391156099E0,9.395622445E0
2.496492292E0,2.510448246E0,1.407889076E0,9.378251536E0
2.516392292E0,2.576541079E0,1.434797086E0,9.356222152E0
2.536292292E0,2.615928800E0,1.464817860E0,9.340627627E0
2.556191292E0,2.621671643E0,1.482824215E0,9.336175557E0
2.576091292E0,2.620598679E0,1.478623575E0,9.337142687E0
2.595991292E0,2.601891682E0,1.470397274E0,9.343671103E0
2.615891292E0,2.544625514E0,1.466980015E0,9.359965539E0
2.635790292E0,2.487533008E0,1.455087070E0,9.377152845E0
2.655690292E0,2.458920243E0,1.428043406E0,9.388850200E0
2.675590292E0,2.428635466E0,1.392941108E0,9.401997079E0
2.695490292E0,2.370869069E0,1.370135067E0,9.420074916E0
2.715389292E0,2.308515092E0,1.366240090E0,9.436113828E0
2.735289292E0,2.279900427E0,1.399526973E0,9.438192514E0
2.755189292E0,2.301810236E0,1.439170803E0,9.426906218E0
2.775089292E0,2.341182463E0,1.450302878E0,9.415497131E0
