"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781210437390099E9,"2026-06-11 22:40:37.390 UTC+02:00"
"PAUSE",4.714615175011568E1,1.781210484535721E9,"2026-06-11 22:41:24.536 UTC+02:00"
