"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.476916468E-3,-1.983793974E-1,5.633264184E-1,2.175441533E-1
1.848491654E-2,-1.833210588E-1,4.569088221E-1,3.364676535E-1
2.849191660E-2,-8.534709364E-2,4.054509699E-1,4.397810102E-1
5.849891666E-2,-3.367333114E-2,3.491048813E-1,4.625909030E-1
7.849891666E-2,-7.333128899E-2,1.844150424E-1,3.239206076E-1
9.849891666E-2,-1.408802271E-1,1.865245253E-1,2.730006874E-1
1.184989167E-1,-2.480819076E-1,1.695876718E-1,2.086417973E-1
1.384989167E-1,-2.543511391E-1,9.407535195E-3,1.194313616E-1
1.584989167E-1,-2.635702491E-1,-2.965790220E-2,1.345669329E-1
1.784989167E-1,-3.369989693E-1,7.990141213E-2,2.285889536E-1
1.984989167E-1,-4.236164093E-1,3.171448410E-1,4.125776887E-1
2.184989167E-1,-7.911764383E-1,6.699113846E-1,6.268003583E-1
2.384989167E-1,-1.209527493E0,9.975233674E-1,8.373340964E-1
2.584989167E-1,-1.257352114E0,1.224247217E0,1.101468682E0
2.784989167E-1,-1.213547945E0,1.398125410E0,1.042774439E0
2.984989167E-1,-1.249713778E0,1.268819690E0,6.054146886E-1
3.184989167E-1,-1.124164701E0,1.185207605E0,3.615902662E-1
3.384989167E-1,-1.009449005E0,1.337341905E0,4.911438823E-1
3.584989167E-1,-1.196803451E0,1.712205529E0,4.656591713E-1
3.784989167E-1,-1.268666506E0,2.039444447E0,1.175481230E-1
3.984989167E-1,-9.891962409E-1,1.684601426E0,-4.284132421E-1
4.184989167E-1,-7.014834881E-1,8.824285269E-1,-1.181190610E0
4.384989167E-1,-6.816945076E-1,2.715132535E-1,-1.783087015E0
4.584989167E-1,-8.992281556E-1,2.951622568E-2,-1.994949102E0
4.784989167E-1,-1.026688933E0,-3.894781768E-1,-1.925467014E0
4.984989167E-1,-9.809387326E-1,-6.277254820E-1,-1.856275320E0
5.184989167E-1,-9.405944943E-1,-8.683354855E-1,-1.691856861E0
5.384989167E-1,-1.034869075E0,-1.132147193E0,-1.333526492E0
5.584989167E-1,-1.152029753E0,-1.317397714E0,-9.895629287E-1
5.784989167E-1,-1.292227864E0,-1.189382911E0,-8.843774199E-1
5.984989167E-1,-1.569748878E0,-8.721243143E-1,-9.222571254E-1
6.184989167E-1,-1.845368028E0,-6.967254877E-1,-7.843601704E-1
6.384989167E-1,-1.957312465E0,-6.987597942E-1,-5.312536955E-1
6.584989167E-1,-1.738795996E0,-5.287576318E-1,-4.030979872E-1
6.784989167E-1,-1.308611751E0,-2.891163528E-1,-5.010580420E-1
6.984989167E-1,-7.648161650E-1,-3.605715185E-2,-6.275635958E-1
7.184989167E-1,-3.360759616E-1,-1.343540996E-1,-7.136481404E-1
7.384989167E-1,-1.071224883E-1,-2.001958340E-1,-7.454854250E-1
7.584989167E-1,-1.292477697E-1,-7.667027414E-2,-8.583040237E-1
7.784989167E-1,-4.841752946E-1,-2.970269322E-1,-8.133362532E-1
7.984989167E-1,-6.955021620E-1,-3.625026643E-1,-5.558199286E-1
8.184989167E-1,-6.861095428E-1,-6.434653997E-1,-4.345247447E-1
8.384989167E-1,-4.871349037E-1,-7.401373386E-1,-4.971186221E-1
8.584989167E-1,-3.640951514E-1,-8.019830585E-1,-6.759032607E-1
8.784989167E-1,-5.779780149E-1,-6.922606230E-1,-1.083039403E0
8.984989167E-1,-9.840621352E-1,-6.909549832E-1,-1.490279078E0
9.184989167E-1,-1.332337379E0,-7.475425005E-1,-1.936201215E0
9.384989167E-1,-1.466836572E0,-9.178402424E-1,-2.362497807E0
9.584989167E-1,-1.428934216E0,-7.460675836E-1,-2.601530075E0
9.784989167E-1,-1.444956064E0,-2.086340636E-1,-2.623331547E0
9.984989167E-1,-1.625401735E0,5.100930333E-1,-2.449962139E0
