"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780513956530000E9,"2026-06-03 21:12:36.530 UTC+02:00"
"PAUSE",4.421153079182841E1,1.780514000741000E9,"2026-06-03 21:13:20.741 UTC+02:00"
