"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780514131238000E9,"2026-06-03 21:15:31.238 UTC+02:00"
"PAUSE",3.901105820853263E1,1.780514170249000E9,"2026-06-03 21:16:10.249 UTC+02:00"
