"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
5.070791580E-3,3.776400406E-1,1.401618735E-1,-4.314363834E-1,-8.072208246E-1,1.356248445E2,5.374546520E1,-5.714532957E0,-1.327545559E2
1.503979159E-2,3.773386906E-1,1.401472697E-1,-4.315936543E-1,-8.072800831E-1,1.356621357E2,5.376482570E1,-5.706795693E0,-1.327901621E2
2.500979160E-2,3.771200117E-1,1.402645643E-1,-4.317549503E-1,-8.072757209E-1,1.356891935E2,5.379047606E1,-5.692097680E0,-1.328095441E2
3.497979161E-2,3.769888507E-1,1.404428666E-1,-4.318747527E-1,-8.072419191E-1,1.357054212E2,5.381364718E1,-5.674748365E0,-1.328156165E2
4.494879162E-2,3.768753281E-1,1.406330964E-1,-4.319766006E-1,-8.072071691E-1,1.357194658E2,5.383515285E1,-5.656402244E0,-1.328189556E2
5.491879163E-2,3.767775475E-1,1.408644720E-1,-4.320302219E-1,-8.071839040E-1,1.357315624E2,5.385276179E1,-5.632735884E0,-1.328181462E2
6.488879165E-2,3.766795350E-1,1.411744410E-1,-4.320234152E-1,-8.071790782E-1,1.357436871E2,5.386682079E1,-5.598834092E0,-1.328129203E2
7.485779165E-2,3.765692999E-1,1.415348387E-1,-4.319682450E-1,-8.071969274E-1,1.357573232E2,5.387751990E1,-5.557174007E0,-1.328061926E2
8.482779167E-2,3.764266960E-1,1.419135282E-1,-4.319130748E-1,-8.072265777E-1,1.357749623E2,5.388922090E1,-5.512014641E0,-1.328021575E2
9.479779168E-2,3.762256555E-1,1.423462393E-1,-4.319550214E-1,-8.072215201E-1,1.357998278E2,5.391528786E1,-5.463707555E0,-1.328022854E2
1.047667917E-1,3.760188199E-1,1.429489076E-1,-4.320886585E-1,-8.071399870E-1,1.358254077E2,5.396031443E1,-5.404550170E0,-1.327945229E2
1.147367917E-1,3.758830649E-1,1.437881568E-1,-4.321489917E-1,-8.070217651E-1,1.358421957E2,5.400744579E1,-5.324400699E0,-1.327658209E2
