"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781859304743844E9,"2026-06-19 10:55:04.744 UTC+02:00"
"PAUSE",1.776615095837042E1,1.781859322510254E9,"2026-06-19 10:55:22.510 UTC+02:00"
