"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780928183456662E9,"2026-06-08 4:16:23.457 UTC+02:00"
"PAUSE",3.461436166660860E1,1.780928218071570E9,"2026-06-08 4:16:58.072 UTC+02:00"
