"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.851958316E-2,5.960873987E-1,2.430101832E-1,-3.010419050E-1,-7.035621785E-1,1.068196217E2,4.551357297E1,-9.711540584E-1,-9.986204677E1
2.848958317E-2,5.959976892E-1,2.429178948E-1,-3.011298523E-1,-7.036324163E-1,1.068324244E2,4.551473616E1,-9.795523954E-1,-9.987973017E1
3.845858318E-2,5.959266928E-1,2.427830065E-1,-3.012456060E-1,-7.036895042E-1,1.068425557E2,4.551516210E1,-9.942971800E-1,-9.989723373E1
4.842858319E-2,5.958685618E-1,2.426140371E-1,-3.013559912E-1,-7.037497426E-1,1.068508506E2,4.551237162E1,-1.011780876E0,-9.991488997E1
5.839858321E-2,5.958008845E-1,2.424584415E-1,-3.014610949E-1,-7.038156497E-1,1.068605072E2,4.551015305E1,-1.027338749E0,-9.993310385E1
6.836758321E-2,5.957208002E-1,2.423575235E-1,-3.015585147E-1,-7.038764307E-1,1.068719332E2,4.551154690E1,-1.037675398E0,-9.994992817E1
7.833658322E-2,5.956286672E-1,2.423130375E-1,-3.016330093E-1,-7.039377965E-1,1.068850773E2,4.551523442E1,-1.041461039E0,-9.996522175E1
8.830658323E-2,5.955154765E-1,2.423033042E-1,-3.016825713E-1,-7.040156681E-1,1.069012240E2,4.551931408E1,-1.039553466E0,-9.998145393E1
9.827558324E-2,5.953866126E-1,2.422954438E-1,-3.017346016E-1,-7.041050826E-1,1.069196045E2,4.552379479E1,-1.036799518E0,-9.999975088E1
1.082455833E-1,5.952433976E-1,2.422875992E-1,-3.018107663E-1,-7.041962041E-1,1.069400294E2,4.553059639E1,-1.035145620E0,-1.000200307E2
1.182145833E-1,5.950991131E-1,2.422738962E-1,-3.019230086E-1,-7.042747395E-1,1.069606041E2,4.554038400E1,-1.036735405E0,-1.000407973E2
1.281845833E-1,5.949624361E-1,2.422468485E-1,-3.020575729E-1,-7.043417899E-1,1.069800914E2,4.555124385E1,-1.041503326E0,-1.000612666E2
1.381535833E-1,5.948380608E-1,2.421787181E-1,-3.022019891E-1,-7.044083397E-1,1.069978226E2,4.555979050E1,-1.050695770E0,-1.000823672E2
1.481235833E-1,5.947159456E-1,2.420936895E-1,-3.023582459E-1,-7.044735567E-1,1.070152297E2,4.556813512E1,-1.062171912E0,-1.001040995E2
1.580925833E-1,5.946080707E-1,2.420309355E-1,-3.025092976E-1,-7.045214145E-1,1.070306052E2,4.557773658E1,-1.072466906E0,-1.001226195E2
1.680625833E-1,5.945184612E-1,2.419988722E-1,-3.026458428E-1,-7.045494052E-1,1.070433762E2,4.558835781E1,-1.080476718E0,-1.001368589E2
1.780315833E-1,5.944476914E-1,2.419945627E-1,-3.027644967E-1,-7.045596522E-1,1.070534614E2,4.559944299E1,-1.086169717E0,-1.001469225E2
1.880015833E-1,5.943858883E-1,2.420209598E-1,-3.028793337E-1,-7.045534303E-1,1.070622683E2,4.561258040E1,-1.089889252E0,-1.001540114E2
1.979705831E-1,5.943316980E-1,2.420857764E-1,-3.029943156E-1,-7.045274573E-1,1.070699900E2,4.562875714E1,-1.091327086E0,-1.001578661E2
2.079405831E-1,5.942835716E-1,2.421953266E-1,-3.031155616E-1,-7.044780559E-1,1.070768472E2,4.564905483E1,-1.090439539E0,-1.001583183E2
2.179095831E-1,5.942328531E-1,2.423202709E-1,-3.032365019E-1,-7.044259361E-1,1.070840735E2,4.567055060E1,-1.088273637E0,-1.001582974E2
