"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780513471191000E9,"2026-06-03 21:04:31.191 UTC+02:00"
"PAUSE",5.126399462483823E1,1.780513522454000E9,"2026-06-03 21:05:22.454 UTC+02:00"
