"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781210323223632E9,"2026-06-11 22:38:43.224 UTC+02:00"
"PAUSE",4.891214699996635E1,1.781210372135292E9,"2026-06-11 22:39:32.135 UTC+02:00"
