"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780928112969894E9,"2026-06-08 4:15:12.970 UTC+02:00"
"PAUSE",2.093799787503667E1,1.780928133908222E9,"2026-06-08 4:15:33.908 UTC+02:00"
