"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.203745836E-2,4.742173365E-1,5.329780051E-1,-5.595353218E-1,-4.218678212E-1,1.233831938E2,1.012406962E2,-4.645482443E0,-8.897122680E1
2.200545836E-2,4.741848676E-1,5.332849790E-1,-5.594010656E-1,-4.216944449E-1,1.233874198E2,1.012612338E2,-4.631815818E0,-8.893715590E1
3.197445837E-2,4.741346839E-1,5.336530343E-1,-5.592862286E-1,-4.214374624E-1,1.233939513E2,1.012920227E2,-4.620251565E0,-8.889748743E1
4.194345837E-2,4.741405871E-1,5.340361702E-1,-5.591221720E-1,-4.211633367E-1,1.233931830E2,1.013183014E2,-4.609955466E0,-8.884984659E1
5.191145837E-2,4.741779661E-1,5.343850355E-1,-5.589119699E-1,-4.209577917E-1,1.233883181E2,1.013342328E2,-4.596635584E0,-8.880294186E1
6.188045838E-2,4.741646529E-1,5.346769288E-1,-5.586778178E-1,-4.209126893E-1,1.233900508E2,1.013397398E2,-4.571663312E0,-8.876852800E1
7.184845838E-2,4.740695644E-1,5.349137058E-1,-5.584549492E-1,-4.210148586E-1,1.234024265E2,1.013396650E2,-4.535671856E0,-8.874985349E1
8.181745838E-2,4.739400392E-1,5.351097861E-1,-5.582342552E-1,-4.212039794E-1,1.234192830E2,1.013347156E2,-4.494211989E0,-8.873990310E1
9.178645839E-2,4.737835453E-1,5.352776544E-1,-5.580581261E-1,-4.214000913E-1,1.234396474E2,1.013321065E2,-4.454385969E0,-8.873636552E1
1.017544584E-1,4.735868697E-1,5.354509780E-1,-5.579372331E-1,-4.215611950E-1,1.234652379E2,1.013374606E2,-4.416881094E0,-8.873653198E1
1.117240833E-1,4.733993557E-1,5.356444373E-1,-5.578391100E-1,-4.216559016E-1,1.234896334E2,1.013484136E2,-4.384314829E0,-8.873318167E1
1.216920833E-1,4.732483146E-1,5.358778466E-1,-5.577331528E-1,-4.216690383E-1,1.235092818E2,1.013634519E2,-4.356748883E0,-8.872091409E1
1.316610833E-1,4.731376449E-1,5.361508265E-1,-5.575912497E-1,-4.216337956E-1,1.235236772E2,1.013788096E2,-4.330882810E0,-8.869934882E1
1.416300833E-1,4.730543864E-1,5.364313216E-1,-5.574055006E-1,-4.216161545E-1,1.235345065E2,1.013893729E2,-4.302946734E0,-8.867388055E1
1.515980833E-1,4.729654012E-1,5.367170799E-1,-5.571919820E-1,-4.216345015E-1,1.235460801E2,1.013969359E2,-4.270665913E0,-8.864836007E1
1.615670833E-1,4.728761105E-1,5.370044793E-1,-5.569563390E-1,-4.216800438E-1,1.235576927E2,1.014018048E2,-4.235410310E0,-8.862266033E1
1.715360833E-1,4.727913558E-1,5.372975783E-1,-5.567050496E-1,-4.217336099E-1,1.235687149E2,1.014053656E2,-4.198826797E0,-8.859575340E1
1.815040833E-1,4.727457845E-1,5.376359609E-1,-5.563944840E-1,-4.217632496E-1,1.235746410E2,1.014069211E2,-4.160815246E0,-8.855896467E1
1.914730833E-1,4.727334381E-1,5.380711172E-1,-5.559948996E-1,-4.217489592E-1,1.235762466E2,1.014090663E2,-4.118120491E0,-8.850657310E1
2.014410833E-1,4.727231359E-1,5.386498402E-1,-5.555040949E-1,-4.216685615E-1,1.235775863E2,1.014174321E2,-4.067742195E0,-8.843618123E1
2.114100833E-1,4.726829989E-1,5.393606764E-1,-5.549493706E-1,-4.215354749E-1,1.235828056E2,1.014342047E2,-4.008872368E0,-8.835261011E1
2.213790833E-1,4.725735225E-1,5.401530385E-1,-5.543758350E-1,-4.213980551E-1,1.235970409E2,1.014589328E2,-3.940919674E0,-8.826632246E1
2.313470833E-1,4.724173420E-1,5.409489883E-1,-5.538140530E-1,-4.212910706E-1,1.236173476E2,1.014858152E2,-3.868614519E0,-8.818457516E1
2.413160834E-1,4.722873138E-1,5.416427129E-1,-5.532829310E-1,-4.212433235E-1,1.236342525E2,1.015039989E2,-3.800939710E0,-8.811253236E1
2.512840834E-1,4.721862324E-1,5.421622848E-1,-5.528421737E-1,-4.212669389E-1,1.236473931E2,1.015120924E2,-3.744011528E0,-8.805892429E1
2.612530834E-1,4.720942707E-1,5.425055597E-1,-5.525368310E-1,-4.213284706E-1,1.236593475E2,1.015156078E2,-3.701180501E0,-8.802619511E1
2.712220834E-1,4.720515390E-1,5.427363729E-1,-5.523307158E-1,-4.213493702E-1,1.236649020E2,1.015179283E2,-3.674827282E0,-8.800211179E1
2.811900834E-1,4.720371169E-1,5.429222873E-1,-5.521733770E-1,-4.213325194E-1,1.236667767E2,1.015209859E2,-3.657440048E0,-8.798055283E1
2.911590834E-1,4.719622667E-1,5.430791957E-1,-5.520620714E-1,-4.213599965E-1,1.236765058E2,1.015262908E2,-3.637357861E0,-8.796913690E1
3.011270834E-1,4.717385196E-1,5.431834071E-1,-5.520338930E-1,-4.215128526E-1,1.237055862E2,1.015355226E2,-3.607073318E0,-8.798043232E1
3.110960834E-1,4.713482714E-1,5.432280489E-1,-5.520963885E-1,-4.218100405E-1,1.237562972E2,1.015487528E2,-3.565024005E0,-8.801724557E1
