"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.780927756336523E9,"2026-06-08 4:09:16.337 UTC+02:00"
"PAUSE",3.117361954180524E1,1.780927787511536E9,"2026-06-08 4:09:47.512 UTC+02:00"
