"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.781785212205311E9,"2026-06-18 14:20:12.205 UTC+02:00"
"PAUSE",3.557797145831864E1,1.781785247782754E9,"2026-06-18 14:20:47.783 UTC+02:00"
"START",3.557797145831864E1,1.781785356139693E9,"2026-06-18 14:22:36.140 UTC+02:00"
"PAUSE",7.283623499993700E1,1.781785393397403E9,"2026-06-18 14:23:13.397 UTC+02:00"
"START",7.283623499993700E1,1.781785479204875E9,"2026-06-18 14:24:39.205 UTC+02:00"
"PAUSE",1.053869462915463E2,1.781785511755103E9,"2026-06-18 14:25:11.755 UTC+02:00"
